Gene	Gene3D	TMHMM	Phobius	PANTHER	SUPERFAMILY	interpro	GO	PATHWAY	Pfam	PIRSF	MobiDBLite	SMART	Coils	ProSiteProfiles	CDD	SignalP_EUK	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	ProSitePatterns	Hamap	PRINTS	TIGRFAM	SFLD	ProDom
maker-NODE_110_length_59295_cov_33.641090-augustus-gene-0.17-mRNA-1	G3DSA:3.30.70.330	NA	NA	PTHR14089:SF6;PTHR14089	SSF54928	IPR035979	GO:0003676;GO:0000398	Reactome: R-HSA-72163	PF00076	NA	mobidb-lite	SM00360	NA	PS50102	cd12265	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_246_length_39325_cov_30.891984-processed-gene-0.8-mRNA-1	NA	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	IPR032382	NA	NA	PF16541	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA	NA
maker-NODE_615_length_15935_cov_33.373861-augustus-gene-0.0-mRNA-1	G3DSA:2.60.260.20;G3DSA:1.10.287.110	NA	NA	PTHR24078;PTHR24078:SF519	SSF49493;SSF46565	IPR001623	GO:0006457;GO:0051082	NA	PF01556;PF00226	NA	mobidb-lite	SM00271	NA	PS50076	cd10747;cd06257	NA	NA	NA	NA	NA	PR00625	NA	NA	NA
maker-NODE_9_length_141697_cov_31.881585-augustus-gene-0.40-mRNA-1	G3DSA:1.10.555.10	NA	SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	PTHR23176;PTHR23176:SF29	SSF48350	IPR008936	GO:0007165	Reactome: R-HSA-194840	PF00620	NA	mobidb-lite	SM00324	Coil	PS50238	cd00159	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA
maker-NODE_63_length_72307_cov_33.539485-augustus-gene-0.26-mRNA-1	G3DSA:3.40.50.150	NA	NA	PTHR42912;PTHR42912:SF28	SSF53335	IPR013216	GO:0008168	NA	PF08241	NA	NA	NA	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_17_length_119947_cov_30.609589-processed-gene-0.2-mRNA-1	G3DSA:3.40.50.300	NA	NA	PTHR24073;PTHR24073:SF625	SSF52540	IPR005225	GO:0005525;GO:0003924	NA	PF00071	NA	NA	SM00176;SM00173;SM00175;SM00174	NA	PS51419	cd01868	NA	NA	NA	NA	NA	PR00449	TIGR00231	NA	NA
maker-NODE_145_length_53359_cov_26.569019-augustus-gene-0.0-mRNA-1	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR33048	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_887_length_8435_cov_20.329923-augustus-gene-0.3-mRNA-1	G3DSA:1.20.1250.20	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR23501:SF12;PTHR23501	SSF103473	IPR020846	GO:0016021;GO:0055085	NA	PF07690	NA	NA	NA	NA	PS50850	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_505_length_20921_cov_30.587092-augustus-gene-0.4-mRNA-1	NA	NA	NA	PTHR31290;PTHR31290:SF5	NA	IPR004601	GO:0004519;GO:0006289;GO:0009411	NA	PF03851	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00629	NA	NA
maker-NODE_403_length_25963_cov_33.692948-augustus-gene-0.1-mRNA-1	G3DSA:3.40.830.10	NA	NA	PTHR30096	SSF53213	IPR004183	GO:0006725;GO:0008198;GO:0016491;GO:0008270;GO:0016701;GO:0055114	NA	PF02900	PIRSF006157	NA	NA	NA	NA	cd07363	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_153_length_51459_cov_30.363867-processed-gene-0.4-mRNA-1	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_324_length_32038_cov_30.057410-augustus-gene-0.11-mRNA-1	G3DSA:3.40.50.300;G3DSA:1.20.120.1240	NA	NA	PTHR11566;PTHR11566:SF21	SSF52540	IPR030381	GO:0005525;GO:0003924	NA	PF00350;PF02212;PF01031	NA	mobidb-lite	SM00053;SM00302	Coil	PS51718;PS51388	cd08771	NA	NA	NA	PS00410	NA	PR00195	NA	NA	NA
maker-NODE_1024_length_5879_cov_33.365090-augustus-gene-0.0-mRNA-1	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR24221;PTHR24221:SF288	SSF90123;SSF52540	IPR003593	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	NA	PF00005;PF00664	NA	mobidb-lite	SM00382	NA	PS50893;PS50929	NA	NA	NA	NA	PS00211	NA	NA	NA	NA	NA
augustus_masked-NODE_654_length_14561_cov_27.120272-processed-gene-0.3-mRNA-1	G3DSA:1.25.40.10	NA	NA	PTHR23323:SF24;PTHR23323	SSF48371;SSF50978	IPR000547	GO:0006886;GO:0016192;GO:0005515	NA	PF00637;PF12451	PIRSF007860	mobidb-lite	NA	NA	PS50236;PS50089;PS50005	cd16688	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_299_length_34026_cov_27.273341-augustus-gene-0.0-mRNA-1	G3DSA:1.10.150.50	NA	NA	PTHR12844;PTHR12844:SF27	SSF50729;SSF47769	IPR013761	GO:0005515	NA	PF07647	NA	mobidb-lite	SM00454;SM00233	NA	PS50105;PS50003	cd09535	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_47_length_79825_cov_31.706279-augustus-gene-0.5-mRNA-1	G3DSA:1.20.58.190;G3DSA:1.20.58.200	NA	NA	PTHR10741:SF5;PTHR10741	SSF74784	IPR002848	GO:0043565	Reactome: R-HSA-426486	PF01997	NA	NA	NA	NA	NA	cd14820	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_223_length_41100_cov_23.170283-processed-gene-0.0-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_79_length_67296_cov_30.040837-augustus-gene-0.5-mRNA-1	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR14043;PTHR14043:SF2	NA	IPR012955	GO:0006891;GO:0030173	Reactome: R-HSA-6811438	PF08172	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_69_length_70970_cov_32.524173-augustus-gene-0.0-mRNA-1	G3DSA:1.10.8.270;G3DSA:1.10.472.80	NA	NA	PTHR22957:SF452;PTHR22957	SSF47923	IPR035969	NA	NA	PF00566	NA	mobidb-lite	SM00164	Coil	PS50086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_153_length_51459_cov_30.363867-processed-gene-0.11-mRNA-1	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_31_length_92627_cov_28.197589-processed-gene-0.31-mRNA-1	G3DSA:3.30.420.80	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	PTHR11759:SF3;PTHR11759	SSF53137	IPR036967	GO:0003735;GO:0005840;GO:0006412	NA	PF00411	NA	mobidb-lite	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	MF_01310	NA	NA	NA	NA
augustus_masked-NODE_293_length_34650_cov_35.746372-processed-gene-0.10-mRNA-1	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	SSF101447	IPR000961	GO:0004674;GO:0005524;GO:0006468	NA	NA	NA	mobidb-lite	NA	NA	PS51285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_2_length_190777_cov_31.566892-processed-gene-0.47-mRNA-1	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	PTHR16255:SF1;PTHR16255	NA	IPR003734	NA	NA	PF02582	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_134_length_54887_cov_27.780953-processed-gene-0.7-mRNA-1	NA	NA	NA	PTHR13924;PTHR13924:SF10	SSF57997	IPR039915	GO:0007052	NA	PF12709	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_67_length_71258_cov_30.713472-processed-gene-0.12-mRNA-1	G3DSA:2.130.10.10	NA	NA	PTHR30344;PTHR30344:SF4	SSF75011	IPR019405	GO:0005515	NA	PF10282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_430_length_24601_cov_26.460775-augustus-gene-0.1-mRNA-1	G3DSA:1.25.40.90	NA	NA	PTHR12276;PTHR12276:SF82	SSF48464	IPR013809	NA	NA	PF01417	NA	mobidb-lite	SM00726;SM00273	Coil	PS50330;PS50942	cd03571	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_351_length_30360_cov_28.829822-augustus-gene-0.0-mRNA-1	G3DSA:4.10.240.10	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR31944;PTHR31944:SF55	SSF57701	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PF04082;PF00172	NA	NA	SM00066;SM00906	NA	PS50048	cd12148;cd00067	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_407_length_25784_cov_25.521768-augustus-gene-0.7-mRNA-1	G3DSA:1.20.1740.10	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR43341:SF31;PTHR43341	NA	IPR004762	GO:0006865;GO:0016021;GO:0016020;GO:0022857;GO:0055085	NA	PF00324	PIRSF006060	NA	NA	NA	NA	NA	NA	NA	NA	PS00218	NA	NA	TIGR00913	NA	NA
augustus_masked-NODE_155_length_51198_cov_28.667933-processed-gene-0.16-mRNA-1	NA	NA	NA	PTHR15107;PTHR15107:SF0	NA	IPR033316	GO:0004519;GO:0006281	Reactome: R-HSA-5685938|Reactome: R-HSA-5685939|Reactome: R-HSA-5685942|Reactome: R-HSA-5693554|Reactome: R-HSA-5693568|Reactome: R-HSA-5693579|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-6804756|Reactome: R-HSA-69473|Reactome: R-HSA-8953750|Reactome: R-HSA-912446	PF08573	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_50_length_78289_cov_29.715002-processed-gene-0.8-mRNA-1	G3DSA:3.40.50.150	NA	NA	PTHR14614;PTHR14614:SF38	SSF53335	IPR029063	NA	NA	PF10294	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_436_length_24284_cov_28.053401-augustus-gene-0.3-mRNA-1	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR13832:SF503;PTHR13832	SSF81606	IPR001932	GO:0003824;GO:0004722;GO:0006470	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	PF00481	NA	mobidb-lite	SM00332	NA	PS51746	cd00143	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA
maker-NODE_97_length_60770_cov_29.618653-augustus-gene-0.4-mRNA-1	G3DSA:1.10.4160.10	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR31806;PTHR31806:SF5	NA	IPR026030	GO:0005215;GO:0016021;GO:0055085;GO:0016020;GO:0022857	NA	PF02133	PIRSF002744	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_902_length_8054_cov_29.330138-augustus-gene-0.3-mRNA-1	G3DSA:3.30.1490.100;G3DSA:2.30.40.20;G3DSA:1.10.150.20	NA	NA	PTHR11076:SF11;PTHR11076	SSF100879;SSF56672	IPR036775	GO:0003684;GO:0006281	KEGG: 00230+2.7.7.7|KEGG: 00240+2.7.7.7|Reactome: R-HSA-5656169	PF00817;PF11799	PIRSF036603	mobidb-lite	NA	NA	PS50173	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_722_length_12708_cov_29.129560-augustus-gene-0.4-mRNA-1	G3DSA:3.40.50.10190	NA	NA	PTHR13561;PTHR13561:SF36	SSF52113	IPR001357	NA	NA	PF12738;PF16770	NA	mobidb-lite	SM00292	NA	PS50172	cd00027	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_234904_cov_31.360218-augustus-gene-0.26-mRNA-1	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR36414	NA	IPR009571	GO:0005886	NA	PF06687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_158_length_50475_cov_29.923334-processed-gene-0.2-mRNA-1	G3DSA:3.30.40.10	NA	NA	PTHR13931:SF2;PTHR13931	SSF57850	IPR019474	GO:0000151;GO:0006511;GO:0016567;GO:0034450;GO:0004842	MetaCyc: PWY-7511	PF10408;PF04564	NA	mobidb-lite	SM00504	Coil	PS51698	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_13_length_130528_cov_28.865929-processed-gene-0.12-mRNA-1	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR34414	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_220_length_41360_cov_33.628720-processed-gene-0.1-mRNA-1	G3DSA:3.40.1170.10;G3DSA:1.10.1420.10;G3DSA:3.30.420.110;G3DSA:3.40.50.300	NA	NA	PTHR11361:SF31;PTHR11361	SSF55271;SSF52540;SSF48334;SSF53150	IPR007696	GO:0005524;GO:0006298;GO:0030983	Reactome: R-HSA-5632928	PF05192;PF05188;PF00488;PF01624;PF05190	PIRSF037677	mobidb-lite	SM00533;SM00534	Coil	NA	NA	NA	NA	NA	PS00486	NA	NA	NA	NA	NA
maker-NODE_130_length_55273_cov_30.725764-augustus-gene-0.3-mRNA-1	G3DSA:3.30.70.1620;G3DSA:1.20.1060.20;G3DSA:3.40.50.300	NA	NA	PTHR43941	SSF52540;SSF75553	IPR024704	GO:0005515;GO:0005524;GO:0005694;GO:0051276	Reactome: R-HSA-2299718|Reactome: R-HSA-2514853	PF02463;PF06470	PIRSF005719	NA	SM00968	Coil	NA	cd03273	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_382_length_27929_cov_31.154305-augustus-gene-0.5-mRNA-1	G3DSA:2.60.40.3960	NA	NA	PTHR33572:SF3;PTHR33572	NA	IPR037525	NA	NA	PF11754	NA	mobidb-lite	NA	NA	PS51821	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_483_length_22001_cov_25.031727-augustus-gene-0.3-mRNA-1	NA	NA	NA	PTHR22949	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_90_length_63783_cov_30.982594-augustus-gene-0.19-mRNA-1	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR12661;PTHR12661:SF5	NA	IPR007109	NA	NA	PF04427	NA	mobidb-lite	SM00879	Coil	PS50833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_208_length_42611_cov_32.338104-processed-gene-0.11-mRNA-1	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR13205;PTHR13205:SF15	NA	IPR032974	GO:0004168;GO:0043048	Reactome: R-HSA-446199|Reactome: R-HSA-4755583	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_219_length_41519_cov_25.568105-augustus-gene-0.3-mRNA-1	G3DSA:4.10.240.10	NA	NA	PTHR43374;PTHR43374:SF1	SSF57701	IPR004507	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PF00172;PF04082	NA	mobidb-lite	SM00066;SM00906	NA	PS50048	cd00067;cd12148	NA	NA	NA	PS00463	NA	NA	NA	NA	NA
augustus_masked-NODE_366_length_28738_cov_29.569956-processed-gene-0.0-mRNA-1	G3DSA:3.30.40.10	NA	NA	PTHR12775	SSF57850	IPR027799	GO:1902979	NA	PF04641	NA	mobidb-lite	NA	Coil	NA	cd16653	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_568_length_17447_cov_28.909238-augustus-gene-0.6-mRNA-1	G3DSA:1.10.510.10;G3DSA:3.30.200.20	NA	NA	PTHR44035	SSF56112	IPR008271	GO:0004672;GO:0006468;GO:0005524	NA	PF00069	NA	mobidb-lite	SM00220	NA	PS50011	cd14008	NA	NA	NA	PS00108;PS00107	NA	NA	NA	NA	NA
maker-NODE_39_length_86056_cov_28.651049-augustus-gene-0.23-mRNA-1	G3DSA:3.30.2410.10;G3DSA:2.20.70.10;G3DSA:3.90.1750.10;G3DSA:3.30.2160.10;G3DSA:2.60.40.150	NA	NA	PTHR11254:SF347;PTHR11254	SSF51045;SSF56204;SSF49562	IPR000569	GO:0004842;GO:0005515;GO:0006511;GO:0061630	MetaCyc: PWY-7511|Reactome: R-HSA-983168	PF00632;PF00168;PF00397	PIRSF001569	mobidb-lite	SM00239;SM00456;SM00119	NA	PS50020;PS50004;PS50237	cd00201;cd08382;cd00078	NA	NA	NA	PS01159	NA	NA	NA	NA	NA
maker-NODE_836_length_9684_cov_21.718636-augustus-gene-0.0-mRNA-1	G3DSA:3.30.70.330	NA	NA	PTHR45381	SSF54928	IPR012677	GO:0003676	NA	PF00076	NA	mobidb-lite	SM00360	NA	PS50102	cd12245	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_122_length_56721_cov_26.877796-processed-gene-0.14-mRNA-1	G3DSA:3.40.50.620;G3DSA:1.10.730.10;G3DSA:1.10.287.380;G3DSA:3.90.740.10	NA	NA	PTHR11946:SF54;PTHR11946	SSF46589;SSF47323;SSF50677;SSF52374	IPR010978	GO:0000166;GO:0004832;GO:0005524;GO:0005737;GO:0006438;GO:0004812;GO:0006418;GO:0002161	KEGG: 00970+6.1.1.9	PF10458;PF08264;PF00133	NA	mobidb-lite	NA	Coil	NA	cd07962;cd00817	NA	NA	NA	PS00178	MF_02004	PR00986	TIGR00422	NA	NA
maker-NODE_1833_length_1353_cov_32.072594-augustus-gene-0.0-mRNA-1	G3DSA:3.20.20.100	NA	NA	PTHR11732;PTHR11732:SF218	SSF51430	IPR020471	GO:0016491;GO:0055114	NA	PF00248	PIRSF000097	NA	NA	NA	NA	cd06660	NA	NA	NA	PS00062	NA	PR00069	NA	NA	NA
augustus_masked-NODE_46_length_82974_cov_28.537545-processed-gene-0.6-mRNA-1	G3DSA:1.10.10.60	NA	NA	PTHR21717:SF9;PTHR21717	SSF46689	IPR009057	GO:0003677	NA	PF00249	NA	mobidb-lite	SM00717	NA	PS51294;PS50090	cd11660	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_552_length_18112_cov_31.807117-processed-gene-0.3-mRNA-1	G3DSA:3.30.160.20	NA	NA	PTHR11075;PTHR11075:SF54	SSF75620	IPR000352	GO:0003747;GO:0006415	NA	PF00472	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_710_length_13024_cov_26.915252-processed-gene-0.1-mRNA-1	G3DSA:1.50.10.150	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR31686	NA	IPR038665	GO:0016021;GO:0055085	NA	PF03595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_146443_cov_31.837947-augustus-gene-0.54-mRNA-1	G3DSA:3.40.50.300;G3DSA:2.40.30.10;G3DSA:3.40.50.10050	NA	NA	PTHR43381:SF1;PTHR43381	SSF52540;SSF50447;SSF52156	IPR000178	GO:0003743;GO:0005525;GO:0005622;GO:0006413;GO:0003924	Reactome: R-HSA-5368286	PF00009;PF11987	NA	mobidb-lite	NA	Coil	PS51722	cd03692;cd03702;cd01887	NA	NA	NA	PS01176	MF_00100_B	NA	TIGR00231	NA	NA
augustus_masked-NODE_907_length_7974_cov_28.807952-processed-gene-0.0-mRNA-1	G3DSA:1.25.40.10	NA	NA	PTHR43628	SSF81901	IPR006597	GO:0005515	NA	PF08238	NA	mobidb-lite	SM00671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_20_length_113784_cov_31.196160-augustus-gene-0.39-mRNA-1	G3DSA:1.10.510.10	NA	NA	PTHR24343:SF108;PTHR24343	SSF56112;SSF103243	IPR000719	GO:0004672;GO:0005524;GO:0006468	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	PF00069;PF12330;PF02149	NA	mobidb-lite	SM00220	Coil	PS50011;PS50032	cd12121;cd14077	NA	NA	NA	PS00107;PS00108	NA	NA	NA	NA	NA
maker-NODE_1132_length_4399_cov_30.672519-augustus-gene-0.0-mRNA-1	G3DSA:1.20.1740.10	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR43341:SF18;PTHR43341	NA	IPR002293	GO:0016020;GO:0022857;GO:0055085	NA	PF00324	PIRSF006060	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_62_length_72351_cov_29.915056-augustus-gene-0.15-mRNA-1	G3DSA:3.50.50.60;G3DSA:1.10.30.10;G3DSA:3.90.660.10;G3DSA:1.10.10.10	NA	NA	PTHR10742;PTHR10742:SF353	SSF46689;SSF47095;SSF51905;SSF54373	IPR007526	GO:0005515;GO:0003677;GO:0016491;GO:0055114	NA	PF09011;PF01593;PF04433	NA	mobidb-lite	SM00398	NA	PS50934;PS50118	cd00084	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_127_length_55708_cov_30.020870-augustus-gene-0.20-mRNA-1	G3DSA:1.20.1270.60;G3DSA:3.30.1520.10	NA	NA	PTHR10555;PTHR10555:SF170	SSF64268;SSF103657	IPR039358	GO:0035091	NA	PF00787	NA	mobidb-lite	SM00312	Coil	PS50195	cd06863;cd07628	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_77_length_68246_cov_29.035937-processed-gene-0.6-mRNA-1	G3DSA:1.25.40.10	NA	NA	NA	SSF48452	IPR019734	GO:0005515	NA	NA	NA	mobidb-lite	NA	Coil	PS50005;PS50293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_489_length_21707_cov_21.710890-processed-gene-0.0-mRNA-1	G3DSA:3.30.160.60	NA	NA	PTHR11850:SF204;PTHR11850	NA	IPR013087	GO:0003676	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	PS00028	NA	NA	NA	NA	NA
maker-NODE_1125_length_4444_cov_25.092194-augustus-gene-0.0-mRNA-1	G3DSA:1.10.10.10;G3DSA:1.10.10.60	NA	NA	PTHR12802;PTHR12802:SF41	SSF46689	IPR009057	GO:0003677;GO:0005515	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	PF00249;PF16495;PF04433	NA	mobidb-lite	SM00717	Coil	PS50934;PS51293	cd02336;cd00167	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_98_length_60680_cov_33.022773-augustus-gene-0.24-mRNA-1	G3DSA:3.40.470.10	NA	NA	PTHR11264:SF0;PTHR11264	SSF52141	IPR002043	GO:0004844;GO:0006281;GO:0006284;GO:0016799	Reactome: R-HSA-110328|Reactome: R-HSA-110329|Reactome: R-HSA-110357	PF03167	NA	mobidb-lite	SM00986;SM00987	NA	NA	cd10027	NA	NA	NA	PS00130	MF_00148	NA	TIGR00628	NA	NA
augustus_masked-NODE_17_length_119947_cov_30.609589-processed-gene-0.26-mRNA-1	G3DSA:1.20.1250.20	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR23514;PTHR23514:SF3	SSF103473	IPR011701	GO:0016021;GO:0055085	NA	PF07690	NA	NA	NA	NA	PS50850	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_10_length_140912_cov_29.142544-augustus-gene-0.42-mRNA-1	G3DSA:1.20.1250.20	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR43791;PTHR43791:SF4	SSF103473	IPR011701	GO:0016021;GO:0055085	NA	PF07690	NA	NA	NA	NA	PS50850	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_366_length_28738_cov_29.569956-augustus-gene-0.9-mRNA-1	G3DSA:1.10.1410.10;G3DSA:3.30.460.10	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR23092:SF15;PTHR23092	SSF81631;SSF81301	IPR002934	GO:0016779	NA	PF01909;PF03828	NA	mobidb-lite	NA	NA	NA	cd05402	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_6_length_149138_cov_30.386354-processed-gene-0.27-mRNA-1	G3DSA:1.25.40.20	NA	NA	PTHR43828:SF10;PTHR43828	SSF48403	IPR002110	GO:0005515	NA	PF12796	NA	NA	SM00248	NA	PS50088;PS50297	cd00204	NA	NA	NA	NA	NA	NA	NA	NA	NA
