Gene	TMHMM	interpro	SUPERFAMILY	MobiDBLite	Phobius	PANTHER	GO	PATHWAY	Pfam	TIGRFAM	Gene3D	Coils	ProSiteProfiles	SMART	SignalP_EUK	CDD	ProSitePatterns	PRINTS	SignalP_GRAM_POSITIVE	PIRSF	Hamap	SignalP_GRAM_NEGATIVE	ProDom	SFLD
maker-NODE_4_length_485698_cov_44.640333-snap-gene-0.55-mRNA-1	NA	IPR001810	SSF81383	mobidb-lite	NA	PTHR12874:SF9;PTHR12874	GO:0005515	NA	PF12937	NA	NA	NA	PS50181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_655175_cov_46.306011-snap-gene-4.33-mRNA-1	NA	IPR000504	SSF54928	mobidb-lite	NA	PTHR44202	GO:0003676	NA	PF00076	NA	G3DSA:3.30.70.330	NA	PS50102	SM00360	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_6_length_459376_cov_47.460123-processed-gene-1.80-mRNA-1	TMhelix	IPR015260	SSF58038;SSF47661	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR19957;PTHR19957:SF124	GO:0016020;GO:0048193;GO:0016192	Reactome: R-HSA-6811440	PF09177	NA	G3DSA:1.20.5.110;G3DSA:1.20.58.90	Coil	PS50192	SM00397	NA	cd15851	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_68_length_139726_cov_48.335411-snap-gene-0.81-mRNA-1	NA	IPR039722	SSF54928	mobidb-lite	NA	PTHR13112;PTHR13112:SF0	GO:0000184;GO:0003676	Reactome: R-HSA-9010553|Reactome: R-HSA-975957	PF03467;PF00076	NA	G3DSA:3.30.70.330	NA	PS50102	NA	NA	cd12455	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_655175_cov_46.306011-snap-gene-2.58-mRNA-1	NA	NA	NA	mobidb-lite	NA	PTHR38701	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_58_length_153173_cov_41.472374-snap-gene-0.5-mRNA-1	NA	IPR000571	SSF90229	mobidb-lite	NA	PTHR23102;PTHR23102:SF13	GO:0046872	NA	PF00642	NA	G3DSA:4.10.1000.10	NA	PS50103	SM00356	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_126_length_58343_cov_46.276917-snap-gene-0.38-mRNA-1	NA	IPR010678	SSF52540	mobidb-lite	NA	PTHR12933	GO:0005634	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	PF06862	NA	G3DSA:3.40.50.300	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_19_length_280240_cov_48.570655-processed-gene-1.2-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_130_length_54826_cov_46.880400-snap-gene-0.10-mRNA-1	NA	IPR002554	SSF48371	mobidb-lite	NA	PTHR10257	GO:0000159;GO:0007165;GO:0019888	Reactome: R-HSA-141444|Reactome: R-HSA-195253|Reactome: R-HSA-196299|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-389513|Reactome: R-HSA-432142|Reactome: R-HSA-4641262|Reactome: R-HSA-5339716|Reactome: R-HSA-5358747|Reactome: R-HSA-5358749|Reactome: R-HSA-5358751|Reactome: R-HSA-5358752|Reactome: R-HSA-5467337|Reactome: R-HSA-5467340|Reactome: R-HSA-5467348|Reactome: R-HSA-5663220|Reactome: R-HSA-5673000|Reactome: R-HSA-5675221|Reactome: R-HSA-6811558|Reactome: R-HSA-68877	PF01603	NA	G3DSA:1.25.10.10	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF028043	NA	NA	NA	NA
snap_masked-NODE_6_length_459376_cov_47.460123-processed-gene-3.124-mRNA-1	TMhelix	NA	NA	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR37451;PTHR37451:SF3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_19_length_280240_cov_48.570655-processed-gene-1.102-mRNA-1	NA	IPR036864	SSF57701	NA	NA	PTHR31263	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF11951;PF00172	NA	G3DSA:4.10.240.10	NA	PS50048	SM00066	NA	cd00067	PS00463	NA	NA	NA	NA	NA	NA	NA
maker-NODE_83_length_115247_cov_39.696030-snap-gene-0.74-mRNA-1	NA	IPR000727	SSF58038;SSF47661;SSF50182	mobidb-lite	NA	PTHR13586;PTHR13586:SF0	GO:0016020;GO:0016192;GO:0006886	NA	PF12352;PF05008;PF12701;PF09532	NA	G3DSA:2.30.30.100;G3DSA:1.20.58.400	Coil	PS51513;PS51512;PS51536	SM00397;SM01199;SM01271	NA	cd15862;cd01736	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_140_length_46617_cov_38.086836-snap-gene-0.13-mRNA-1	NA	IPR036188	SSF51905	NA	NA	PTHR13789;PTHR13789:SF147	NA	NA	NA	NA	G3DSA:3.30.9.30;G3DSA:3.50.50.60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_20_length_253829_cov_47.498589-augustus-gene-1.121-mRNA-1	TMhelix	IPR029058	SSF53474;SSF75304;SSF53187	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR12147:SF6;PTHR12147		KEGG: 00970+6.3.5.7|MetaCyc: PWY-5921	PF01425;PF10230;PF04389	NA	G3DSA:3.90.1300.10	NA	NA	NA	NA	cd03875;cd06174	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_82_length_115983_cov_46.803126-snap-gene-0.42-mRNA-1	NA	IPR007219	SSF57701	mobidb-lite	NA	PTHR31845:SF17;PTHR31845	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	NA	PF04082;PF00172	NA	G3DSA:4.10.240.10	Coil	PS50048	SM00066	NA	cd00067;cd12148	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_245_length_12088_cov_47.872251-processed-gene-0.6-mRNA-1	NA	IPR004827	SSF57959	mobidb-lite	NA	PTHR11462;PTHR11462:SF35	GO:0003700;GO:0006355	NA	PF00170	NA	G3DSA:1.20.5.170	Coil	PS50217	SM00338	NA	cd14687	PS00036	NA	NA	NA	NA	NA	NA	NA
maker-NODE_22_length_253474_cov_42.751148-snap-gene-1.34-mRNA-1	NA	IPR001680	SSF50978	mobidb-lite	NA	PTHR19847;PTHR19847:SF7	GO:0005515	NA	PF00400	NA	G3DSA:2.130.10.10	NA	PS50082;PS50294	SM00320	NA	NA	PS00678	NA	NA	NA	NA	NA	NA	NA
maker-NODE_3_length_510266_cov_45.656092-snap-gene-2.64-mRNA-1	NA	IPR006615	SSF143791;SSF54001	mobidb-lite	NA	PTHR43913	GO:0004843;GO:0006511;GO:0036459;GO:0016579	Reactome: R-HSA-5689880	PF06337;PF00443	NA	G3DSA:3.90.70.10;G3DSA:3.30.2230.10	NA	PS51283;PS50235	SM00695	NA	NA	PS00972;PS00973	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_11_length_375835_cov_47.427859-processed-gene-1.31-mRNA-1	TMhelix	IPR004240	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR10766;PTHR10766:SF55	GO:0016021	NA	PF02990	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_655175_cov_46.306011-processed-gene-5.33-mRNA-1	TMhelix	IPR036259	SSF103473	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR23502:SF60;PTHR23502	GO:0016021;GO:0055085	NA	PF07690	NA	G3DSA:1.20.1250.20	NA	PS50850	NA	NA	cd06174	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_347_length_6593_cov_17.231828-snap-gene-0.0-mRNA-1	NA	IPR002317	SSF55681;SSF46589	NA	NA	PTHR11778;PTHR11778:SF7	GO:0000166;GO:0004828;GO:0005524;GO:0006434;GO:0004812;GO:0006418	KEGG: 00970+6.1.1.11|MetaCyc: PWY-6281	PF00587	TIGR00414	G3DSA:3.30.930.10;G3DSA:1.10.287.40	Coil	PS50862	NA	NA	cd00770	NA	PR00981	NA	PIRSF001529	NA	NA	NA	NA
augustus_masked-NODE_28_length_232581_cov_45.577568-processed-gene-1.67-mRNA-1	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	SignalP-TM	NA	NA	SignalP-noTM	NA	NA
snap_masked-NODE_53_length_157893_cov_44.883574-processed-gene-0.86-mRNA-1	TMhelix	IPR004840	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR43341;PTHR43341:SF12	GO:0006865;GO:0016021;GO:0055085;GO:0016020;GO:0022857	NA	PF00324	NA	G3DSA:1.20.1740.10	NA	NA	NA	NA	NA	PS00218	NA	NA	PIRSF006060	NA	NA	NA	NA
maker-NODE_87_length_105373_cov_48.309266-augustus-gene-0.91-mRNA-1	NA	IPR000757	SSF49899	mobidb-lite	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	PTHR10963;PTHR10963:SF27	GO:0004553;GO:0005975	NA	PF00722	NA	G3DSA:2.60.120.200	NA	PS51762	NA	SignalP-noTM	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
maker-NODE_14_length_336798_cov_44.461587-snap-gene-1.1-mRNA-1	NA	IPR001300	SSF54001	mobidb-lite	NA	PTHR10183;PTHR10183:SF294	GO:0004198;GO:0005622;GO:0006508	Reactome: R-HSA-1474228	PF00648	NA	G3DSA:3.90.70.10	Coil	PS50203	SM00230	NA	NA	PS00139	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_27_length_234181_cov_45.442107-processed-gene-1.23-mRNA-1	TMhelix	IPR001216	SSF53686	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR10314:SF35;PTHR10314	GO:0006535	NA	PF00291	NA	G3DSA:3.40.50.1100	NA	NA	NA	NA	cd01561	PS00901	NA	NA	NA	NA	NA	NA	NA
maker-NODE_65_length_143133_cov_48.818420-snap-gene-0.89-mRNA-1	TMhelix	IPR036259	SSF103473	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR23501:SF3;PTHR23501	GO:0016021;GO:0055085	NA	PF07690	NA	G3DSA:1.20.1250.20	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_87_length_105373_cov_48.309266-snap-gene-0.65-mRNA-1	NA	IPR000904	SSF48425;SSF50729	mobidb-lite	NA	PTHR45590	GO:0005086;GO:0032012	NA	PF15410;PF01369	NA	G3DSA:2.30.29.30;G3DSA:1.10.1000.11	NA	PS50190	SM00222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_101_length_89282_cov_47.641916-snap-gene-0.6-mRNA-1	TMhelix	IPR020846	SSF103473	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR23500:SF9;PTHR23500	GO:0016021;GO:0022857;GO:0055085;GO:0005215;GO:0016020	Reactome: R-HSA-189200	PF00083	TIGR00879	G3DSA:1.20.1250.20	NA	PS50850	NA	NA	cd06174	PS00216	PR00171	NA	NA	NA	NA	NA	NA
maker-NODE_93_length_99022_cov_46.353840-snap-gene-0.8-mRNA-1	TMhelix	IPR011701	SSF103473	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR23501:SF43;PTHR23501	GO:0016021;GO:0055085	NA	PF07690	NA	G3DSA:1.20.1720.10	NA	PS50850	NA	NA	cd06174	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_14_length_336798_cov_44.461587-snap-gene-2.7-mRNA-1	NA	IPR005814	SSF52540;SSF53383	NA	NA	PTHR42684:SF3;PTHR42684	GO:0008483;GO:0030170;GO:0003824	NA	PF13500;PF00202	NA	G3DSA:3.40.50.300;G3DSA:3.40.640.10	NA	NA	NA	NA	NA	PS00600	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_20_length_253829_cov_47.498589-processed-gene-0.27-mRNA-1	NA	IPR016181	SSF55729	mobidb-lite	NA	PTHR31438	NA	NA	PF13523	NA	G3DSA:3.40.630.30	NA	NA	SM01006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_655175_cov_46.306011-snap-gene-4.43-mRNA-1	NA	IPR003034	SSF68906	mobidb-lite	NA	PTHR12381:SF49;PTHR12381		Reactome: R-HSA-111465	PF02037	NA	G3DSA:1.10.720.30	Coil	PS50800	SM00513	NA	cd12432	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_107_length_81207_cov_48.009645-processed-gene-0.31-mRNA-1	TMhelix	IPR015720	SSF101576	NA	SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	PTHR22811;PTHR22811:SF46	NA	NA	PF01105	NA	NA	NA	PS50866	SM01190	SignalP-noTM	NA	NA	NA	SignalP-TM	NA	NA	SignalP-noTM	NA	NA
maker-NODE_330_length_7225_cov_14.967456-snap-gene-0.0-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_99_length_89951_cov_46.513738-snap-gene-0.76-mRNA-1	NA	IPR006035	SSF52768	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	PTHR11358:SF36;PTHR11358	GO:0046872;GO:0016813	NA	PF00491	NA	G3DSA:3.40.800.10	NA	PS51257;PS51409	NA	SignalP-noTM	cd11592	PS01053	PR00116	NA	PIRSF036979	NA	NA	NA	NA
maker-NODE_12_length_365688_cov_47.560864-augustus-gene-2.107-mRNA-1	NA	IPR001412	SSF50715;SSF47616;SSF52374	NA	NA	PTHR43097;PTHR43097:SF5	GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0006412;GO:0043039;GO:0004818;GO:0005737;GO:0006424	Reactome: R-HSA-2408517|Reactome: R-HSA-379716	PF00749;PF03950	TIGR00463	G3DSA:2.40.240.10;G3DSA:1.20.1050.10;G3DSA:3.40.50.620	NA	NA	NA	NA	NA	PS00178	PR00987	NA	NA	MF_02076	NA	NA	NA
snap_masked-NODE_62_length_149231_cov_46.803272-processed-gene-0.100-mRNA-1	NA	IPR012860	NA	mobidb-lite	NA	PTHR13677:SF3;PTHR13677	GO:0017112	Reactome: R-HSA-8876198	PF07792;PF08616	NA	NA	Coil	PS50211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_28_length_232581_cov_45.577568-augustus-gene-0.16-mRNA-1	NA	IPR019791	SSF48264;SSF48113	mobidb-lite	NA	PTHR11903;PTHR11903:SF13	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004601;GO:0006979;GO:0031408;GO:0016491	KEGG: 00591+1.13.11.60	PF03098	NA	G3DSA:1.10.630.10;G3DSA:1.10.640.10	NA	PS50292	NA	NA	cd09817	NA	PR00457	NA	NA	NA	NA	NA	NA
maker-NODE_38_length_197262_cov_41.642534-snap-gene-0.90-mRNA-1	TMhelix	IPR036259	SSF103473	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR23500:SF333;PTHR23500	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0016021	Reactome: R-HSA-189200	PF00083	TIGR00879	G3DSA:1.20.1250.20	NA	PS50850	NA	NA	cd06174	PS00217;PS00216	PR00171	NA	NA	NA	NA	NA	NA
maker-NODE_11_length_375835_cov_47.427859-snap-gene-2.144-mRNA-1	NA	IPR002553	SSF48371	mobidb-lite	NA	PTHR11134:SF1;PTHR11134	GO:0006886;GO:0016192;GO:0030117;GO:0030123	NA	PF01602	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_30_length_221711_cov_47.927368-snap-gene-1.59-mRNA-1	NA	IPR001356	SSF46689	mobidb-lite	NA	PTHR24326;PTHR24326:SF485	GO:0003677;GO:0006355;GO:0043565	NA	PF00046	NA	G3DSA:1.10.10.60	NA	PS50071	SM00389	NA	cd00086	PS00027	NA	NA	NA	NA	NA	NA	NA
maker-NODE_5_length_485167_cov_46.599687-snap-gene-2.33-mRNA-1	TMhelix	IPR036305	SSF48097	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR39466	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_125_length_58440_cov_47.103750-snap-gene-0.3-mRNA-1	NA	IPR024928	SSF56204;SSF51045;SSF49562	mobidb-lite	NA	PTHR11254;PTHR11254:SF347	GO:0006511;GO:0061630;GO:0004842;GO:0005515	MetaCyc: PWY-7511|Reactome: R-HSA-983168	PF00168;PF00397;PF00632	NA	G3DSA:3.30.2410.10;G3DSA:3.30.2160.10;G3DSA:2.20.70.10;G3DSA:3.90.1750.10;G3DSA:2.60.40.150	NA	PS50237;PS50020;PS50004	SM00119;SM00239;SM00456	NA	cd00078;cd00201	PS01159	NA	NA	PIRSF001569	NA	NA	NA	NA
maker-NODE_11_length_375835_cov_47.427859-augustus-gene-2.3-mRNA-1	NA	IPR005549	NA	mobidb-lite	NA	PTHR21650:SF2;PTHR21650	GO:0000776;GO:0031262	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	PF18595;PF03800	NA	G3DSA:1.10.418.60	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_2_length_510603_cov_44.643932-processed-gene-4.54-mRNA-1	TMhelix	IPR016162	SSF53720	NA	NA	PTHR11699;PTHR11699:SF25	GO:0016491;GO:0055114;GO:0016620	NA	PF00171	NA	G3DSA:3.40.605.10;G3DSA:3.40.309.10	NA	NA	NA	NA	cd07098	PS00687;PS00070	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_36_length_200612_cov_47.596648-processed-gene-1.21-mRNA-1	NA	IPR008927	SSF48179	NA	NA	PTHR43765;PTHR43765:SF2	GO:0055114	NA	PF08546;PF02558	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_125_length_58440_cov_47.103750-snap-gene-0.1-mRNA-1	NA	IPR001680	SSF50978	NA	NA	PTHR19877	GO:0005515;GO:0003743;GO:0005737;GO:0005852	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	PF00400	NA	G3DSA:2.130.10.10	NA	PS50082;PS50294	SM00320	NA	NA	PS00678	NA	NA	NA	MF_03008	NA	NA	NA
snap_masked-NODE_94_length_98764_cov_45.232722-processed-gene-0.37-mRNA-1	NA	IPR002347	SSF51735	NA	NA	PTHR42760;PTHR42760:SF58	GO:0016491	NA	PF13561	NA	G3DSA:3.40.50.720	NA	NA	SM00822	NA	NA	PS00061	PR00081;PR00080	NA	NA	NA	NA	NA	NA
maker-NODE_95_length_98681_cov_43.567922-snap-gene-0.73-mRNA-1	NA	IPR000008	SSF49562	mobidb-lite	NA	PTHR10774;PTHR10774:SF151	NA	NA	PF00168	NA	G3DSA:2.60.40.150	NA	PS50004	SM00239	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_41_length_188794_cov_46.184076-processed-gene-0.0-mRNA-1	NA	IPR011421	NA	mobidb-lite	NA	PTHR23227:SF51;PTHR23227	NA	NA	PF07572	NA	NA	NA	PS51279	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_36_length_200612_cov_47.596648-processed-gene-1.116-mRNA-1	NA	IPR011545	SSF52540	mobidb-lite	NA	PTHR24031;PTHR24031:SF25	GO:0003676;GO:0005524	NA	PF00270;PF00271	NA	G3DSA:3.40.50.300	NA	PS51195;PS51192;PS51194	SM00487;SM00490	NA	cd00079;cd00268	PS00039	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_61_length_149344_cov_47.368932-processed-gene-0.120-mRNA-1	TMhelix	IPR000537	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR43448;PTHR43448:SF2	GO:0016021;GO:0016765;GO:0008495;GO:0048034	Reactome: R-HSA-189451	PF01040	NA	G3DSA:1.10.357.140	NA	NA	NA	NA	cd13957	PS00943	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_3_length_510266_cov_45.656092-processed-gene-0.37-mRNA-1	NA	IPR007303	NA	mobidb-lite	NA	PTHR21021:SF16;PTHR21021	NA	NA	PF04176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_80_length_118422_cov_45.835462-snap-gene-0.98-mRNA-1	NA	IPR037794	SSF47113	mobidb-lite	NA	PTHR12264;PTHR12264:SF21	GO:0000124;GO:0005669;GO:0046695;GO:0006352;GO:0046982	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-3214847|Reactome: R-HSA-674695|Reactome: R-HSA-6804756|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	PF03847	NA	G3DSA:1.10.20.10	Coil	NA	NA	NA	cd07981	NA	NA	NA	NA	NA	NA	PD012998	NA
maker-NODE_23_length_250861_cov_48.902781-augustus-gene-1.111-mRNA-1	NA	IPR030878	SSF52080	mobidb-lite	NA	PTHR12934;PTHR12934:SF12	GO:0003735;GO:0006412;GO:0015934	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	PF00828	TIGR01071	G3DSA:3.100.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF_01341	NA	NA	NA
augustus_masked-NODE_103_length_84421_cov_47.178791-processed-gene-0.10-mRNA-1	TMhelix	IPR032800	NA	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	PTHR31145;PTHR31145:SF5	NA	NA	PF14558;PF06011	NA	NA	NA	NA	SM01320	SignalP-noTM	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA
maker-NODE_12_length_365688_cov_47.560864-snap-gene-2.89-mRNA-1	NA	IPR025574	SSF50729	mobidb-lite	NA	PTHR38697	GO:0046907	NA	PF13634;PF00638	NA	G3DSA:2.30.29.30	Coil	PS50196	SM00160	NA	cd13170	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_33_length_209019_cov_42.717519-augustus-gene-0.25-mRNA-1	TMhelix	IPR019365	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR13314	GO:0016021	Reactome: R-HSA-112308	PF10233	NA	NA	NA	NA	SM01077	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_485698_cov_44.640333-snap-gene-3.145-mRNA-1	NA	IPR011990	SSF48452	NA	NA	PTHR10805:SF0;PTHR10805	GO:0005515;GO:0005198;GO:0006890	Reactome: R-HSA-6807878|Reactome: R-HSA-6811434	PF04733	NA	G3DSA:1.25.40.10	Coil	PS50005;PS50293	NA	NA	NA	NA	NA	NA	PIRSF016478	NA	NA	NA	NA
maker-NODE_54_length_156753_cov_174.498455-snap-gene-0.124-mRNA-1	NA	IPR011050	SSF51126	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	PTHR31375:SF53;PTHR31375	NA	NA	PF12708	NA	G3DSA:2.160.20.10	NA	NA	NA	SignalP-noTM	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
maker-NODE_158_length_35211_cov_40.976285-augustus-gene-0.10-mRNA-1	NA	IPR036168	SSF49447;SSF55048;SSF64356;SSF52151	mobidb-lite	NA	PTHR42681:SF1;PTHR42681	GO:0016740	NA	PF00698	NA	G3DSA:3.30.450.60;G3DSA:3.30.70.250;G3DSA:3.40.366.10	NA	NA	SM00827	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_109_length_79635_cov_46.711689-processed-gene-0.18-mRNA-1	NA	IPR001623	SSF46565	mobidb-lite	NA	PTHR24074:SF12;PTHR24074	NA	NA	PF00226	NA	G3DSA:1.10.287.110	NA	PS50076	SM00271	NA	cd06257	NA	PR00625	NA	NA	NA	NA	NA	NA
maker-NODE_35_length_204097_cov_50.115154-snap-gene-0.7-mRNA-1	TMhelix	IPR036640	SSF90123;SSF52540	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR24221;PTHR24221:SF386	GO:0005524;GO:0016021;GO:0016887;GO:0042626;GO:0055085	NA	PF00005;PF00664	NA	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	NA	PS50929;PS50893	SM00382	NA	NA	PS00211	NA	NA	NA	NA	NA	NA	NA
maker-NODE_34_length_208333_cov_45.525086-snap-gene-1.60-mRNA-1	NA	IPR036887	SSF54616	mobidb-lite	NA	PTHR24157;PTHR24157:SF0	GO:0003677	NA	NA	NA	G3DSA:3.10.260.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_41_length_188794_cov_46.184076-snap-gene-0.131-mRNA-1	NA	IPR018247	SSF46966;SSF47576;SSF47473	mobidb-lite	NA	PTHR45399	GO:0005509;GO:0005515	Reactome: R-HSA-373753	PF08726;PF00307	NA	G3DSA:1.10.238.10;G3DSA:1.20.58.60;G3DSA:1.10.418.10	Coil	PS50222;PS50021	SM00033;SM01184	NA	cd00051;cd00014	PS00018;PS00019;PS00020	NA	NA	NA	NA	NA	NA	NA
