Gene	interpro	SUPERFAMILY	PANTHER	Gene3D	ProSiteProfiles	GO	SFLD	CDD	Pfam	ProSitePatterns	PATHWAY	SignalP_GRAM_POSITIVE	TIGRFAM	Coils	MobiDBLite	SMART	Phobius	TMHMM	PIRSF	SignalP_GRAM_NEGATIVE	SignalP_EUK	PRINTS	Hamap	ProDom
maker-RZGP01000008.1-snap-gene-16.160-mRNA-1	IPR012966	SSF50729	PTHR36100	G3DSA:2.30.29.30	PS50003	NA	NA	cd13278	PF08174;PF00169	NA	NA	SignalP-TM	NA	Coil	mobidb-lite	SM00233	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000008.1-snap-gene-12.161-mRNA-1	IPR025423	NA	PTHR23241;PTHR23241:SF47	NA	NA	NA	NA	NA	PF13664	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000002.1-processed-gene-40.11-mRNA-1	IPR018825	NA	PTHR31685;PTHR31685:SF3	NA	NA	NA	NA	NA	PF10348;PF10355	NA	NA	SignalP-TM	NA	NA	mobidb-lite	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	TMhelix	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
augustus_masked-RZGP01000008.1-processed-gene-37.7-mRNA-1	IPR036514	SSF52266	PTHR30383:SF12;PTHR30383	G3DSA:3.40.50.1110	NA	NA	NA	cd00229	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000008.1-processed-gene-62.150-mRNA-1	IPR020846	SSF103473	PTHR24064:SF200;PTHR24064	G3DSA:1.20.1250.20	PS50850	GO:0016021;GO:0022857;GO:0055085	NA	cd06174	PF00083	NA	NA	NA	NA	NA	mobidb-lite	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
augustus_masked-RZGP01000002.1-processed-gene-17.16-mRNA-1	IPR006439	SSF56784	PTHR43316:SF5;PTHR43316	G3DSA:3.40.50.1000;G3DSA:1.10.150.240	NA	GO:0016787;GO:0019120	SFLDG01129;SFLDS00003	NA	PF13419	NA	KEGG: 00361+3.8.1.2|KEGG: 00625+3.8.1.2|MetaCyc: PWY-7425	NA	TIGR01428;TIGR01493	NA	NA	NA	NA	NA	NA	NA	NA	PR00413	NA	NA
snap_masked-RZGP01000006.1-processed-gene-37.113-mRNA-1	IPR010828	NA	NA	G3DSA:3.30.559.30;G3DSA:3.30.559.10	NA	GO:0016407;GO:0043386	NA	NA	PF07247;PF07428	NA	Reactome: R-HSA-389661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000006.1-snap-gene-47.52-mRNA-1	IPR036864	SSF57701	PTHR31263:SF4;PTHR31263	G3DSA:4.10.240.10	PS50048	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	cd00067	PF00172;PF11951	PS00463	NA	NA	NA	NA	mobidb-lite	SM00066	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000002.1-processed-gene-51.24-mRNA-1	IPR020846	SSF103473	PTHR43791;PTHR43791:SF55	G3DSA:1.20.1250.20	PS50850	GO:0016021;GO:0055085	NA	cd06174	PF07690	NA	NA	NA	NA	Coil	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000007.1-snap-gene-16.214-mRNA-1	IPR036424	SSF64005	PTHR10291:SF0;PTHR10291	G3DSA:3.40.1180.10	NA	GO:0016765	NA	cd00475	PF01255	PS01066	Reactome: R-HSA-446199	NA	TIGR00055	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	MF_01139	NA
snap_masked-RZGP01000005.1-processed-gene-2.12-mRNA-1	IPR027414	SSF48208	PTHR31084;PTHR31084:SF0	G3DSA:1.50.10.10;G3DSA:2.60.40.1180;G3DSA:2.70.98.50	NA	GO:0003824;GO:0004560	NA	NA	PF14498	NA	KEGG: 00511+3.2.1.51|MetaCyc: PWY-6807	SignalP-TM	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	PIRSF007663	SignalP-noTM	SignalP-noTM	NA	NA	NA
snap_masked-RZGP01000007.1-processed-gene-14.104-mRNA-1	IPR000542	SSF52777	PTHR22589:SF29;PTHR22589	G3DSA:3.30.559.10;G3DSA:3.30.559.40;G3DSA:1.10.275.20;G3DSA:3.30.559.70	NA	GO:0016746	NA	NA	PF00755	PS00440	Reactome: R-HSA-389661	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000001.1-snap-gene-5.147-mRNA-1	IPR002935	SSF53335	PTHR10509;PTHR10509:SF14	G3DSA:3.40.50.150	PS51682	GO:0008171	NA	cd02440	PF01596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000005.1-snap-gene-14.138-mRNA-1	IPR027417	SSF52540;SSF50978	PTHR22847:SF600;PTHR22847	G3DSA:2.130.10.10;G3DSA:3.40.50.300	PS50837;PS50294	GO:0005515	NA	NA	PF05729;PF17100	NA	NA	NA	NA	NA	mobidb-lite	SM00320	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000008.1-augustus-gene-41.6-mRNA-1	IPR002695	SSF52335;SSF53927	PTHR11692	G3DSA:1.10.287.440;G3DSA:3.40.140.20;G3DSA:3.40.50.1380	NA	GO:0003937;GO:0004643;GO:0006164;GO:0003824	NA	cd01421	PF01808;PF02142	NA	KEGG: 00230+3.5.4.10+2.1.2.3|KEGG: 00670+2.1.2.3|MetaCyc: PWY-6123|MetaCyc: PWY-6124|MetaCyc: PWY-7234|Reactome: R-HSA-73817	NA	TIGR00355	NA	NA	SM00851;SM00798	NA	NA	PIRSF000414	NA	NA	NA	MF_00139	NA
maker-RZGP01000002.1-snap-gene-64.140-mRNA-1	IPR007230	SSF82215	PTHR23198	G3DSA:1.25.40.690;G3DSA:3.30.1610.10	PS51434	GO:0005643;GO:0006913;GO:0017056	NA	NA	PF04096;PF12110;PF13634	NA	Reactome: R-HSA-1169408|Reactome: R-HSA-141444|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-5663220|Reactome: R-HSA-6784531|Reactome: R-HSA-68877	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000005.1-processed-gene-28.134-mRNA-1	IPR010829	NA	PTHR38850	NA	NA	NA	NA	NA	PF07249	NA	NA	SignalP-TM	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	SignalP-noTM	NA	NA	NA
snap_masked-RZGP01000004.1-processed-gene-14.22-mRNA-1	IPR002974	SSF48264	PTHR24287:SF1;PTHR24287	G3DSA:1.10.630.10	NA	GO:0005506;GO:0016712;GO:0020037;GO:0055114;GO:0016705;GO:0004497	NA	NA	PF00067	PS00086	Reactome: R-HSA-211981	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	PR01239;PR00464;PR00385	NA	NA
snap_masked-RZGP01000011.1-processed-gene-2.12-mRNA-1	IPR001680	SSF50978	PTHR22847	G3DSA:2.130.10.10	PS50082;PS50294	GO:0005515;GO:0003676	NA	cd00200	PF00400	PS00678	NA	NA	NA	NA	mobidb-lite	SM00355;SM00320	NA	NA	NA	NA	NA	PR00320	NA	NA
snap_masked-RZGP01000006.1-processed-gene-31.19-mRNA-1	IPR013960	NA	PTHR28216	NA	NA	GO:0000278;GO:0042729;GO:0072686	NA	NA	PF08651	NA	NA	NA	NA	Coil	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000008.1-processed-gene-40.33-mRNA-1	IPR000961	SSF56112	PTHR24356;PTHR24356:SF299	G3DSA:3.30.200.20;G3DSA:1.10.510.10	PS51285;PS50011	GO:0004674;GO:0005524;GO:0006468;GO:0004672	NA	NA	PF00069	PS00107;PS00108	NA	NA	NA	NA	mobidb-lite	SM00220;SM00133	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000007.1-augustus-gene-25.155-mRNA-1	IPR011058	SSF51322	NA	G3DSA:2.30.60.10	NA	NA	NA	NA	PF08881	NA	NA	SignalP-TM	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
maker-RZGP01000004.1-snap-gene-16.106-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-RZGP01000002.1-processed-gene-9.38-mRNA-1	NA	NA	PTHR38850	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
maker-RZGP01000003.1-snap-gene-24.19-mRNA-1	IPR020683	SSF52540;SSF48403;SSF53167	PTHR44139	G3DSA:3.40.50.300;G3DSA:1.25.40.20	PS50088;PS50297	GO:0005515;GO:0003824;GO:0009116	NA	cd00204	PF12796;PF05729;PF01048;PF00023;PF13637	NA	NA	NA	NA	NA	mobidb-lite	SM00248	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000008.1-processed-gene-13.153-mRNA-1	IPR017568	SSF53901	PTHR11712;PTHR11712:SF299	G3DSA:3.40.47.10	NA	GO:0006633;GO:0016747;GO:0003824	NA	cd00834	PF02801;PF00109	PS00606	NA	NA	TIGR03150	NA	NA	SM00825	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	PIRSF000447	NA	NA	NA	NA	NA
snap_masked-RZGP01000007.1-processed-gene-38.97-mRNA-1	IPR013328	SSF48179	PTHR21708;PTHR21708:SF25	G3DSA:1.10.1040.10;G3DSA:3.40.50.720	NA	GO:0016491;GO:0055114	NA	NA	PF08546;PF02558	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000008.1-processed-gene-56.89-mRNA-1	IPR032465	SSF51556	PTHR21240	G3DSA:3.20.20.140	NA	GO:0016831;GO:0016787	NA	cd01292	PF04909	NA	Reactome: R-HSA-71240	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000008.1-snap-gene-2.119-mRNA-1	IPR039730	NA	PTHR13049:SF2;PTHR13049	NA	NA	NA	NA	NA	PF05670	NA	NA	NA	NA	Coil	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000007.1-augustus-gene-39.15-mRNA-1	IPR019448	NA	PTHR21456:SF1;PTHR21456	NA	PS51840	NA	NA	NA	PF10358	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000005.1-snap-gene-14.156-mRNA-1	IPR001810	SSF48403	PTHR44294	G3DSA:1.25.40.20	PS50088;PS50181;PS50297	GO:0005515	NA	cd00204	PF13637;PF00646;PF12796	NA	NA	NA	NA	NA	mobidb-lite	SM00248	NA	NA	NA	NA	NA	PR01415	NA	NA
snap_masked-RZGP01000002.1-processed-gene-51.20-mRNA-1	IPR003439	SSF52540	PTHR19241:SF309;PTHR19241	G3DSA:3.40.50.300	PS50893	GO:0005524;GO:0016887;GO:0016020	NA	NA	PF00005;PF01061	PS00211	Reactome: R-HSA-1369062	NA	NA	NA	mobidb-lite	SM00382	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000007.1-processed-gene-3.41-mRNA-1	IPR036188	SSF51905;SSF50022	PTHR13847;PTHR13847:SF246	G3DSA:3.50.50.60;G3DSA:2.102.10.10;G3DSA:3.30.9.10	PS51296	GO:0016491;GO:0051537;GO:0055114	NA	NA	PF01266;PF00355	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000007.1-augustus-gene-33.6-mRNA-1	IPR000757	SSF49899	PTHR10963;PTHR10963:SF54	G3DSA:2.60.120.200	PS51762	GO:0004553;GO:0005975	NA	cd02181	PF00722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000007.1-processed-gene-5.13-mRNA-1	IPR027312	SSF48371	PTHR12730	NA	PS50096	GO:0000055;GO:0030036;GO:0042273;GO:0005515	NA	NA	PF05285;PF08158	NA	NA	NA	NA	Coil	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000007.1-snap-gene-51.9-mRNA-1	IPR002401	SSF48264	PTHR24305:SF92;PTHR24305	G3DSA:1.10.630.10	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	PF00067	PS00086	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	PR00463;PR00385	NA	NA
snap_masked-RZGP01000008.1-processed-gene-15.32-mRNA-1	IPR025256	NA	PTHR39469	NA	NA	NA	NA	NA	PF13886	NA	NA	SignalP-TM	NA	Coil	mobidb-lite	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	TMhelix	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
maker-RZGP01000001.1-snap-gene-9.168-mRNA-1	IPR001623	SSF49493;SSF57938;SSF46565	PTHR43888:SF12;PTHR43888	G3DSA:1.10.287.110;G3DSA:2.60.260.20;G3DSA:2.10.230.10	PS50076;PS51188	GO:0006457;GO:0051082;GO:0031072;GO:0005524;GO:0009408	NA	cd06257;cd10747;cd10719	PF00684;PF01556;PF00226	PS00636	NA	NA	NA	Coil	mobidb-lite	SM00271	NA	NA	NA	NA	NA	PR00625	MF_01152	NA
maker-RZGP01000004.1-snap-gene-3.83-mRNA-1	IPR006322	SSF51905;SSF55424	PTHR42737	G3DSA:3.50.50.60;G3DSA:3.30.390.30	NA	GO:0004362;GO:0006749;GO:0050660;GO:0050661;GO:0055114;GO:0016668;GO:0016491;GO:0009055;GO:0045454	NA	NA	PF07992;PF02852	PS00076	KEGG: 00480+1.8.1.7|MetaCyc: PWY-4081|Reactome: R-HSA-2408550|Reactome: R-HSA-3299685|Reactome: R-HSA-499943|Reactome: R-HSA-5628897	NA	TIGR01421	NA	NA	NA	NA	NA	PIRSF000350	NA	NA	PR00411;PR00368	NA	NA
snap_masked-RZGP01000002.1-processed-gene-58.0-mRNA-1	IPR037344	SSF52540	PTHR10039;PTHR10039:SF5	G3DSA:3.40.50.300	NA	GO:0032126;GO:0070941	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000008.1-snap-gene-56.75-mRNA-1	IPR017853	SSF51445	PTHR36183	G3DSA:2.60.40.1180;G3DSA:3.20.20.80	NA		NA	NA	PF16862	NA	KEGG: 00040+3.2.1.31|KEGG: 00531+3.2.1.31|KEGG: 00860+3.2.1.31|KEGG: 00944+3.2.1.31|KEGG: 00983+3.2.1.31|MetaCyc: PWY-7247|MetaCyc: PWY-7445	SignalP-TM	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
snap_masked-RZGP01000004.1-processed-gene-18.11-mRNA-1	IPR036400	SSF55856;SSF52343;SSF63380	PTHR19370;PTHR19370:SF170	G3DSA:3.10.120.10;G3DSA:3.40.50.80;G3DSA:2.40.30.10	PS51384;PS50255	GO:0016491;GO:0055114;GO:0020037	NA	cd06183	PF00175;PF00173;PF00970	PS00191	Reactome: R-HSA-1237044	NA	NA	NA	mobidb-lite	SM01117	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	PR00406;PR00371;PR00363	NA	NA
maker-RZGP01000001.1-snap-gene-3.3-mRNA-1	IPR017871	SSF90123;SSF52540	PTHR24223;PTHR24223:SF328	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	PS50929;PS50893	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	NA	cd03250	PF00664;PF00005	PS00211	NA	NA	NA	NA	mobidb-lite	SM00382	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000002.1-processed-gene-35.205-mRNA-1	IPR013057	NA	PTHR22950:SF332;PTHR22950	NA	NA	NA	NA	NA	PF01490	NA	NA	NA	NA	NA	mobidb-lite	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000007.1-snap-gene-19.196-mRNA-1	IPR001680	SSF50978	PTHR10253:SF5;PTHR10253	NA	NA	GO:0005515;GO:0016571;GO:0035098	NA	NA	PF00400	NA	Reactome: R-HSA-212300|Reactome: R-HSA-2559580|Reactome: R-HSA-3214841|Reactome: R-HSA-5617472|Reactome: R-HSA-8943724|Reactome: R-HSA-8953750	NA	NA	NA	mobidb-lite	SM00320	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000005.1-snap-gene-40.177-mRNA-1	IPR019021	SSF52540	PTHR28122	G3DSA:3.40.50.300	NA	GO:0005634;GO:0006281;GO:0006974;GO:0031297;GO:0000808;GO:0006260	NA	NA	PF09462;PF13191;PF14630	NA	Reactome: R-HSA-113507|Reactome: R-HSA-176187|Reactome: R-HSA-68616|Reactome: R-HSA-68689|Reactome: R-HSA-68827|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962	NA	NA	Coil	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000002.1-snap-gene-30.175-mRNA-1	IPR016161	SSF53720;SSF141734;SSF101386	PTHR21256	G3DSA:3.40.50.1980;G3DSA:3.10.20.400;G3DSA:1.10.287.1080	NA	GO:0016491;GO:0055114;GO:0000105;GO:0004399;GO:0008270;GO:0051287;GO:0004636;GO:0004635	NA	cd11546;cd06572	PF01502;PF01503;PF00815	PS00611	KEGG: 00340+1.1.1.23	NA	TIGR03188;TIGR00069	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	PIRSF001257	NA	NA	PR00083	MF_01024	PD002610
maker-RZGP01000002.1-snap-gene-22.108-mRNA-1	IPR001806	SSF52540	PTHR24073;PTHR24073:SF450	NA	PS51419	GO:0003924;GO:0005525	NA	cd00154	PF00071	NA	NA	NA	TIGR00231	NA	mobidb-lite	SM00175;SM00174;SM00173	NA	NA	NA	NA	NA	PR00449	NA	NA
maker-RZGP01000003.1-snap-gene-4.2-mRNA-1	IPR002110	SSF48403	PTHR44181	G3DSA:1.25.40.20	PS50088;PS50297	GO:0005515;GO:0004190;GO:0006508	NA	cd00204	PF12796	PS00141	NA	SignalP-TM	NA	Coil	mobidb-lite	SM00248	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	TMhelix	NA	SignalP-TM	SignalP-noTM	PR01415	NA	NA
snap_masked-RZGP01000007.1-processed-gene-44.47-mRNA-1	IPR001126	SSF56672;SSF100879	PTHR11076:SF11;PTHR11076	G3DSA:3.30.70.270;G3DSA:2.30.40.30;G3DSA:3.30.1490.100;G3DSA:1.10.150.20	PS50173;PS50157	GO:0006281;GO:0003676;GO:0003684	NA	NA	PF00817;PF18439;PF11799	PS00028	KEGG: 00230+2.7.7.7|KEGG: 00240+2.7.7.7|Reactome: R-HSA-5656169	NA	NA	NA	mobidb-lite	NA	NA	NA	PIRSF036603	NA	NA	NA	NA	NA
snap_masked-RZGP01000002.1-processed-gene-74.0-mRNA-1	IPR005302	SSF141673	PTHR14237:SF34;PTHR14237	NA	PS51340	GO:0003824;GO:0030151;GO:0030170	NA	NA	PF03473;PF03476	NA	KEGG: 00790+2.8.1.9|MetaCyc: PWY-5963	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000002.1-snap-gene-48.13-mRNA-1	IPR036779	SSF54556;SSF51445;SSF57016	PTHR11177;PTHR11177:SF231	G3DSA:3.10.350.10;G3DSA:3.10.50.10;G3DSA:3.20.20.80	PS51782	GO:0008061;GO:0004553;GO:0005975	NA	cd02878	PF01476;PF00704	PS01095	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	NA	NA	NA	mobidb-lite	SM00636;SM00257	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
maker-RZGP01000001.1-snap-gene-11.111-mRNA-1	IPR018109	SSF53244;SSF53623	PTHR11136:SF4;PTHR11136	G3DSA:3.40.1190.10;G3DSA:3.90.190.20	NA	GO:0004326;GO:0005524;GO:0009396;GO:0009058;GO:0016874	NA	NA	PF08245	PS01011;PS01012	Reactome: R-HSA-196757	NA	TIGR01499	NA	NA	NA	NA	NA	PIRSF038895	NA	NA	NA	NA	NA
maker-RZGP01000007.1-snap-gene-19.178-mRNA-1	IPR007290	NA	PTHR14467	NA	NA		NA	NA	PF04161	NA	Reactome: R-HSA-191273	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000008.1-augustus-gene-38.169-mRNA-1	IPR009038	SSF101576	PTHR22811;PTHR22811:SF31	NA	PS50866	NA	NA	NA	PF01105	NA	NA	SignalP-TM	NA	NA	NA	SM01190	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION	TMhelix	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
maker-RZGP01000005.1-snap-gene-36.13-mRNA-1	IPR020801	SSF52151;SSF53901;SSF55048;SSF53335	PTHR43775;PTHR43775:SF7	G3DSA:3.10.129.110;G3DSA:3.40.366.10;G3DSA:3.40.50.150	NA	GO:0003824;GO:0016740	NA	cd02440	PF00698;PF14765;PF16197;PF02801;PF08242	NA	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	NA	NA	NA	mobidb-lite	SM00827;SM00826	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000005.1-snap-gene-4.12-mRNA-1	IPR016035	SSF52151;SSF47336;SSF50129;SSF53901;SSF55048;SSF51735	PTHR43775:SF2;PTHR43775	G3DSA:3.40.47.10;G3DSA:3.10.129.110;G3DSA:3.40.50.720;G3DSA:3.40.366.10;G3DSA:3.90.180.10;G3DSA:1.10.1200.10	NA	GO:0003824;GO:0016491;GO:0016740;GO:0055114	NA	cd00833;cd05195;cd05274	PF00698;PF16197;PF08659;PF14765;PF00107;PF02801;PF08240;PF00109	PS00606	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	NA	NA	NA	mobidb-lite	SM00826;SM00829;SM00825;SM00822;SM00827	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000001.1-snap-gene-1.6-mRNA-1	IPR036396	SSF48264	PTHR24305:SF110;PTHR24305	G3DSA:1.10.630.10	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	NA	NA	PF00067	PS00086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PR00465;PR00385	NA	NA
augustus_masked-RZGP01000003.1-processed-gene-27.1-mRNA-1	IPR011431	NA	PTHR28199	NA	NA	NA	NA	NA	PF07543	NA	NA	NA	NA	Coil	mobidb-lite	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	PIRSF022909	NA	NA	NA	NA	NA
snap_masked-RZGP01000009.1-processed-gene-2.30-mRNA-1	IPR006034	SSF53774	PTHR43828;PTHR43828:SF2	G3DSA:3.40.50.40;G3DSA:3.40.50.1170	PS51732	GO:0006520	NA	cd08964	PF00710;PF17763	PS00144;PS00917	Reactome: R-HSA-70614	NA	NA	NA	NA	SM00870	NA	NA	PIRSF001220;PIRSF500176	NA	NA	PR00139	NA	NA
