Gene	MobiDBLite	TMHMM	interpro	GO	Pfam	Phobius	SUPERFAMILY	PANTHER	Gene3D	ProSitePatterns	PRINTS	SMART	ProSiteProfiles	CDD	Coils	TIGRFAM	PATHWAY	Hamap	SFLD	PIRSF	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SignalP_EUK	ProDom
snap_masked-scaffold84-processed-gene-0.14-mRNA-1	mobidb-lite	TMhelix	IPR003439	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	PF00005;PF00664	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	SSF52540;SSF90123	PTHR24223;PTHR24223:SF240	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	PS00211	NA	SM00382	PS50893;PS50929	cd03244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold238-processed-gene-0.83-mRNA-1	mobidb-lite	NA	IPR000504	GO:0003676;GO:0000339;GO:0005846;GO:0045292	PF00076	NA	SSF54928	PTHR18847	G3DSA:3.30.70.330	NA	NA	SM00360	PS50102	cd12240	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold565-processed-gene-0.1-mRNA-1	mobidb-lite	NA	IPR013933	NA	PF08624	NA	NA	PTHR22597;PTHR22597:SF5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PD041931
snap_masked-scaffold92-processed-gene-0.128-mRNA-1	mobidb-lite	NA	IPR000432	GO:0005524;GO:0006298;GO:0030983	PF00488;PF01624;PF05192;PF05188;PF05190	NA	SSF48334;SSF55271;SSF52540	PTHR11361;PTHR11361:SF122	G3DSA:3.30.420.110;G3DSA:1.10.1420.10;G3DSA:3.40.1170.10;G3DSA:3.40.50.300	PS00486	NA	SM00533;SM00534	NA	NA	Coil	NA	Reactome: R-HSA-5632928	NA	NA	PIRSF037677	NA	NA	NA	NA
snap_masked-scaffold318-processed-gene-0.25-mRNA-1	mobidb-lite	NA	IPR007148		PF04003	NA	NA	PTHR44267	NA	NA	NA	NA	NA	NA	Coil	NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	SignalP-TM	NA	NA	NA
snap_masked-scaffold48-processed-gene-0.233-mRNA-1	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA
snap_masked-scaffold18-processed-gene-0.92-mRNA-1	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA
snap_masked-scaffold333-processed-gene-0.40-mRNA-1	mobidb-lite	NA	IPR001370	GO:0003677	PF00653	NA	SSF57924	PTHR10044;PTHR10044:SF139	G3DSA:1.10.1170.10	NA	PR00929	SM00384;SM00238	PS50143	cd00022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold52-processed-gene-0.86-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold349-snap-gene-0.0-mRNA-1	mobidb-lite	NA	IPR019775	GO:0005515	PF00400;PF12937	NA	SSF81383;SSF50978	PTHR44007:SF6;PTHR44007	G3DSA:2.130.10.10	PS00678	PR00320	SM00256;SM00320	PS50181;PS50082;PS50294	cd00200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold293-processed-gene-0.22-mRNA-1	mobidb-lite	NA	IPR003108	GO:0008017	PF02187	NA	SSF143575	NA	G3DSA:3.30.920.20	NA	NA	NA	PS51460	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold241-processed-gene-0.11-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold287-augustus-gene-0.77-mRNA-1	NA	TMhelix	IPR004853	NA	PF03151	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	PTHR44010:SF4;PTHR44010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold344-snap-gene-0.5-mRNA-1	mobidb-lite	NA	IPR024704	GO:0005515;GO:0005524;GO:0005694;GO:0051276;GO:0003682;GO:0007064;GO:0008278;GO:0046982	PF02463;PF06470	NA	SSF52540;SSF75553;SSF57997	PTHR18937;PTHR18937:SF12	G3DSA:1.20.1060.20;G3DSA:3.40.50.300;G3DSA:3.30.70.1620	NA	NA	SM00968	NA	cd03275	Coil	NA	NA	NA	NA	PIRSF005719	NA	NA	NA	NA
maker-scaffold43-snap-gene-0.202-mRNA-1	mobidb-lite	NA	IPR019350	NA	PF10214	NA	NA	PTHR28221	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold519-processed-gene-0.8-mRNA-1	NA	TMhelix	IPR039261	GO:0016491;GO:0055114	PF08030;PF01794;PF08022	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	SSF63380;SSF52343	PTHR11972:SF69;PTHR11972	G3DSA:3.40.50.80;G3DSA:2.40.30.10	NA	NA	NA	PS51384	cd06186	NA	NA	NA	NA	SFLDG01168;SFLDS00052;SFLDG01169	NA	NA	NA	NA	NA
maker-scaffold810-snap-gene-0.0-mRNA-1	NA	NA	IPR020449	GO:0003700;GO:0006355;GO:0043565;GO:0003677	PF06445;PF12833	NA	SSF55136;SSF46689	PTHR11019:SF192;PTHR11019	G3DSA:1.10.10.60;G3DSA:3.20.80.10	PS00041	PR00032	SM00342;SM00871	PS01124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold67-snap-gene-0.6-mRNA-1	mobidb-lite	TMhelix	IPR004331	GO:0005215;GO:0006814;GO:0016020;GO:0055085	PF10366;PF10367;PF03105;PF00939;PF00780	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	PTHR10283;PTHR10283:SF92	NA	NA	NA	NA	PS51382;PS50219	cd14478;cd01115	Coil	NA	Reactome: R-HSA-433137	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold109-processed-gene-0.19-mRNA-1	NA	NA	IPR036691	NA	PF03372	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	SSF56219	PTHR41349	G3DSA:3.60.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA
snap_masked-scaffold9-processed-gene-0.19-mRNA-1	NA	TMhelix	IPR002259	GO:0005337;GO:0016021;GO:1901642	PF01733	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	SSF103473	PTHR10332;PTHR10332:SF10	NA	NA	PR01130	NA	NA	NA	NA	NA	Reactome: R-HSA-83936	NA	NA	PIRSF016379	NA	NA	NA	NA
maker-scaffold239-augustus-gene-0.56-mRNA-1	NA	NA	IPR034193	GO:0004252;GO:0006508	PF00082;PF05922	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	SSF52743;SSF54897	PTHR43806:SF25;PTHR43806	G3DSA:3.30.70.80;G3DSA:3.40.50.200	PS00138;PS00136;PS00137	PR00723	NA	NA	cd04077	NA	NA	Reactome: R-HSA-381426|Reactome: R-HSA-8866427|Reactome: R-HSA-8957275|Reactome: R-HSA-8964038	NA	NA	NA	SignalP-TM	NA	SignalP-noTM	NA
augustus_masked-scaffold193-processed-gene-0.9-mRNA-1	NA	TMhelix	IPR024461	NA	PF07798	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	PTHR14360;PTHR14360:SF1	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold16-augustus-gene-0.119-mRNA-1	NA	NA	IPR027306	GO:0005524;GO:0005856;GO:0005885;GO:0007015;GO:0034314	PF00022	NA	SSF53067	PTHR11937:SF149;PTHR11937	G3DSA:3.30.420.40;G3DSA:3.90.640.10	PS01132	PR00190	SM00268	NA	cd00012	NA	NA	Reactome: R-HSA-2029482|Reactome: R-HSA-3928662|Reactome: R-HSA-5663213|Reactome: R-HSA-6798695|Reactome: R-HSA-8856828	NA	NA	NA	NA	NA	NA	NA
maker-scaffold5-snap-gene-0.13-mRNA-1	mobidb-lite	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	NA	SSF57701	PTHR38791	G3DSA:4.10.240.10	NA	NA	SM00066	PS50048	cd00067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold771-processed-gene-0.4-mRNA-1	NA	NA	IPR023210	GO:0016491;GO:0055114	PF00248	NA	SSF51430	PTHR42686	G3DSA:3.20.20.100	NA	PR00069	NA	NA	cd06660	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold289-snap-gene-0.1-mRNA-1	mobidb-lite	TMhelix	IPR001171	GO:0016020;GO:0016628;GO:0055114	PF01222	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	PTHR21257:SF31;PTHR21257	NA	PS01017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold34-augustus-gene-0.3-mRNA-1	mobidb-lite	TMhelix	IPR020846	GO:0016021;GO:0055085	PF07690	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	SSF103473	PTHR11360:SF141;PTHR11360	G3DSA:1.20.1250.20	NA	NA	NA	PS50850	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold372-snap-gene-0.50-mRNA-1	mobidb-lite	NA	IPR000504	GO:0003676	NA	NA	SSF54928	PTHR23147:SF22;PTHR23147	G3DSA:3.30.70.330	NA	NA	NA	PS50102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold336-processed-gene-0.45-mRNA-1	mobidb-lite	TMhelix	IPR001757	GO:0016021;GO:0000166	PF00122;PF00689;PF00690;PF13246;PF00702	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	SSF81653;SSF81660;SSF81665;SSF56784	PTHR43294	G3DSA:1.20.1110.10;G3DSA:3.40.1110.10;G3DSA:2.70.150.10;G3DSA:3.40.50.1000	PS00154	PR00121;PR00119	SM00831	NA	NA	NA	TIGR01494	Reactome: R-HSA-936837	NA	SFLDG00002;SFLDF00027	NA	NA	NA	NA	NA
maker-scaffold21-snap-gene-0.27-mRNA-1	mobidb-lite	NA	IPR016642	GO:0000502;GO:0030234;GO:0042176	PF18004;PF01851;PF13646	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	SSF48371	PTHR10943;PTHR10943:SF2	G3DSA:1.25.10.10	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-6798695|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	NA	PIRSF015947	NA	NA	NA	NA
maker-scaffold66-augustus-gene-0.5-mRNA-1	mobidb-lite	NA	IPR022712	GO:0005847;GO:0006378;GO:0006379	PF10996;PF07521;PF13299;PF16661	NA	SSF56281	PTHR11203:SF5;PTHR11203	G3DSA:3.60.15.10	NA	NA	SM01027	NA	cd16293	NA	NA	Reactome: R-HSA-109688|Reactome: R-HSA-159231|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-77595	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold180-processed-gene-0.21-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold384-augustus-gene-0.76-mRNA-1	mobidb-lite	NA	IPR001680	GO:0005515	PF00400;PF08232	NA	SSF50978	PTHR15653;PTHR15653:SF0	G3DSA:1.20.5.300;G3DSA:2.130.10.10	NA	PR00320	SM00320	PS50294;PS50082	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold434-snap-gene-0.25-mRNA-1	mobidb-lite	NA	IPR012943	GO:0005815	PF07989	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold258-snap-gene-0.25-mRNA-1	mobidb-lite	NA	IPR002124	GO:0004129;GO:0005740	PF01215	NA	SSF57802	PTHR10122;PTHR10122:SF0	G3DSA:2.60.11.10	NA	NA	NA	PS51359	cd00924	NA	NA	Reactome: R-HSA-5628897|Reactome: R-HSA-611105	NA	NA	NA	SignalP-TM	NA	NA	PD007270
maker-scaffold111-snap-gene-0.50-mRNA-1	mobidb-lite	NA	IPR008532	NA	PF05670	NA	NA	PTHR13049:SF2;PTHR13049	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold129-snap-gene-0.24-mRNA-1	NA	NA	IPR029061	GO:0004591;GO:0006099;GO:0030976;GO:0055114;GO:0016624	PF02779;PF16870;PF16078;PF00676	NA	SSF52518	PTHR23152:SF4;PTHR23152	G3DSA:3.40.50.11610;G3DSA:1.10.287.1150;G3DSA:3.40.50.970;G3DSA:3.40.50.12470	NA	NA	SM00861	NA	cd02016	NA	TIGR00239	KEGG: 00020+1.2.4.2|KEGG: 00310+1.2.4.2|KEGG: 00380+1.2.4.2|MetaCyc: PWY-5084	NA	NA	PIRSF000157	SignalP-TM	NA	NA	NA
maker-scaffold278-snap-gene-0.1-mRNA-1	mobidb-lite	NA	IPR007526	GO:0005515;GO:0003677	PF04433;PF00249;PF16495	NA	SSF46689	PTHR12802;PTHR12802:SF41	G3DSA:1.10.10.10;G3DSA:1.10.10.60	NA	NA	SM00717	PS50934;PS51293	cd02336;cd00167	Coil	NA	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	NA	NA	NA	NA	NA	NA	NA
maker-scaffold420-snap-gene-0.30-mRNA-1	NA	NA	IPR006689	GO:0005525	PF00025	NA	SSF52540	PTHR11711:SF293;PTHR11711	G3DSA:3.40.50.300	NA	PR00328	SM00175;SM00178;SM00177	PS51417	cd04159	NA	TIGR00231	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold90-processed-gene-0.131-mRNA-1	NA	NA	IPR022673	GO:0005524;GO:0005975;GO:0016773;GO:0001678;GO:0004396;GO:0005536	PF03727;PF00349	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	SSF53067	PTHR19443:SF24;PTHR19443	G3DSA:3.40.367.20;G3DSA:3.30.420.40	NA	PR00475	NA	PS51748	NA	NA	NA	KEGG: 00010+2.7.1.1|KEGG: 00051+2.7.1.1|KEGG: 00052+2.7.1.1|KEGG: 00500+2.7.1.1|KEGG: 00520+2.7.1.1|KEGG: 00521+2.7.1.1|KEGG: 00524+2.7.1.1|Reactome: R-HSA-70171	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold497-processed-gene-0.11-mRNA-1	mobidb-lite	NA	IPR015972	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0022625;GO:0003723	PF01280	NA	SSF48140	PTHR10722:SF0;PTHR10722	G3DSA:1.10.1650.10;G3DSA:1.10.1200.240	NA	NA	SM01416	NA	cd01417	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	NA
maker-scaffold166-augustus-gene-0.101-mRNA-1	NA	NA	IPR029068	GO:0004462;GO:0046872	PF00903	NA	SSF54593	PTHR10374:SF30;PTHR10374	G3DSA:3.10.180.10	PS00935	NA	NA	PS51819	cd07233	NA	NA	KEGG: 00620+4.4.1.5|MetaCyc: PWY-5386|Reactome: R-HSA-70268	NA	NA	NA	NA	NA	NA	NA
maker-scaffold27-augustus-gene-0.209-mRNA-1	mobidb-lite	NA	IPR012677	GO:0003676;GO:0005634;GO:0005737;GO:0000398	PF04683;PF00076	NA	SSF54928	PTHR15608	G3DSA:3.30.70.330;G3DSA:2.30.29.70	NA	NA	SM00360	PS50102	cd12285;cd12281	NA	NA	Reactome: R-HSA-5689603|Reactome: R-HSA-5689880	NA	NA	NA	NA	NA	NA	NA
maker-scaffold53-augustus-gene-0.22-mRNA-1	NA	TMhelix	IPR020846	GO:0005215;GO:0016021;GO:0055085	PF07690	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	SSF103473	PTHR23504:SF2;PTHR23504	NA	NA	PR01035	NA	PS50850	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold283-snap-gene-0.4-mRNA-1	NA	NA	IPR002347	NA	PF00106	NA	SSF51735	PTHR43391;PTHR43391:SF16	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold247-snap-gene-0.6-mRNA-1	NA	TMhelix	IPR009716	GO:0005381;GO:0016021;GO:0034755	PF06963	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	SSF103473	PTHR11660;PTHR11660:SF57	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-425410|Reactome: R-HSA-5619049|Reactome: R-HSA-5655799|Reactome: R-HSA-917937	NA	NA	NA	NA	NA	NA	NA
maker-scaffold59-snap-gene-0.32-mRNA-1	mobidb-lite	NA	IPR027417	NA	NA	NA	SSF52540	PTHR13884;PTHR13884:SF8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold135-processed-gene-0.101-mRNA-1	mobidb-lite	NA	IPR037651	GO:0000812;GO:0006338;GO:0043486	NA	NA	NA	PTHR28108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold305-snap-gene-0.13-mRNA-1	mobidb-lite	TMhelix	IPR020846	GO:0016021;GO:0055085	PF07690	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	SSF103473	PTHR43791;PTHR43791:SF16	G3DSA:1.20.1250.20	NA	NA	NA	PS50850	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold508-processed-gene-0.0-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold647-processed-gene-0.3-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold55-processed-gene-0.21-mRNA-1	mobidb-lite	NA	IPR010730	NA	PF06985	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	PTHR33112;PTHR33112:SF1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold27-augustus-gene-0.199-mRNA-1	mobidb-lite	NA	IPR001078	GO:0016746	PF00198;PF02817;PF00364	NA	SSF52777;SSF47005;SSF51230	PTHR43178;PTHR43178:SF5	G3DSA:3.30.559.10;G3DSA:2.40.50.100;G3DSA:4.10.320.10	PS00189	NA	NA	PS51826;PS50968	cd06849	NA	NA	Reactome: R-HSA-389661	NA	NA	NA	NA	NA	NA	NA
maker-scaffold125-snap-gene-0.12-mRNA-1	mobidb-lite	TMhelix	IPR011016	GO:0008270	PF12906	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	SSF57850	PTHR13145	G3DSA:3.30.40.10	NA	NA	SM00744	PS51292	cd16702	NA	NA	MetaCyc: PWY-7511	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold209-processed-gene-0.127-mRNA-1	mobidb-lite	TMhelix	IPR004840	GO:0006865;GO:0016021;GO:0055085;GO:0016020;GO:0022857	PF00324	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	PTHR43341:SF31;PTHR43341	G3DSA:1.20.1740.10	PS00218	NA	NA	NA	NA	NA	TIGR00913	NA	NA	NA	PIRSF006060	NA	NA	NA	NA
maker-scaffold185-snap-gene-0.60-mRNA-1	mobidb-lite	NA	IPR014876	GO:0005515	PF08766;PF02201	NA	SSF109715;SSF47592	PTHR13844;PTHR13844:SF4	G3DSA:1.10.245.10	NA	NA	SM00151	NA	NA	NA	NA	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold102-processed-gene-0.1-mRNA-1	mobidb-lite	NA	IPR002999	NA	PF18115	NA	SSF63748	PTHR13681;PTHR13681:SF26	G3DSA:2.30.30.140	NA	NA	SM00333	NA	cd04508	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold440-processed-gene-0.38-mRNA-1	mobidb-lite	NA	IPR030841	GO:0003906;GO:0005634;GO:0006281;GO:0006285;GO:0019104;GO:0003677;GO:0006284;GO:0003824	PF00633;PF00730	NA	SSF48150	PTHR43286	G3DSA:1.10.340.30;G3DSA:1.10.1670.10	PS01155	NA	SM00478	NA	cd00056	NA	NA	Reactome: R-HSA-110328|Reactome: R-HSA-110329|Reactome: R-HSA-110357	MF_03183	NA	NA	NA	NA	NA	NA
maker-scaffold1-snap-gene-1.248-mRNA-1	NA	TMhelix	IPR003445	GO:0006812;GO:0008324;GO:0055085	PF02386	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	PTHR31064;PTHR31064:SF21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold30-processed-gene-0.75-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold153-processed-gene-0.38-mRNA-1	NA	TMhelix	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold427-processed-gene-0.6-mRNA-1	mobidb-lite	NA	IPR002575	NA	PF01636	NA	SSF56112	PTHR21310:SF16;PTHR21310	G3DSA:3.90.1200.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold60-processed-gene-0.38-mRNA-1	mobidb-lite	TMhelix	IPR024260	NA	PF12751	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	PTHR28258	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold100-snap-gene-0.22-mRNA-1	mobidb-lite	NA	IPR000649	GO:0044237	PF01008	NA	SSF100950	PTHR10233:SF9;PTHR10233	G3DSA:3.40.50.10470	NA	NA	NA	NA	NA	Coil	NA	KEGG: 00270+5.3.1.23|MetaCyc: PWY-4361|MetaCyc: PWY-7174	NA	NA	NA	NA	NA	NA	NA
maker-scaffold164-snap-gene-0.91-mRNA-1	mobidb-lite	TMhelix	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	PTHR33604;PTHR33604:SF1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold356-processed-gene-0.30-mRNA-1	mobidb-lite	NA	IPR009604	NA	PF06741	NA	NA	PTHR12854;PTHR12854:SF7	NA	NA	NA	SM01272	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold20-processed-gene-0.44-mRNA-1	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold17-processed-gene-0.197-mRNA-1	mobidb-lite	TMhelix	IPR035213	NA	PF17254	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
