Gene	PANTHER	Phobius	interpro	GO	PATHWAY	Pfam	TMHMM	MobiDBLite	Coils	ProSitePatterns	CDD	Gene3D	SUPERFAMILY	ProSiteProfiles	SMART	PRINTS	SFLD	TIGRFAM	SignalP_GRAM_POSITIVE	SignalP_EUK	SignalP_GRAM_NEGATIVE	Hamap	PIRSF	ProDom
maker-NODE_5_length_639344_cov_58.481605-snap-gene-0.44-mRNA-1	PTHR31263;PTHR31263:SF26	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR021858	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF11951;PF00172	NA	mobidb-lite	NA	PS00463	cd00067	G3DSA:4.10.240.10	SSF57701	PS50048	SM00066	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_718053_cov_59.395713-augustus-gene-4.10-mRNA-1	PTHR10516;PTHR10516:SF347	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	IPR001179	NA	NA	PF00254	NA	NA	NA	NA	NA	G3DSA:3.10.50.40	SSF54534	PS50059	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
maker-NODE_25_length_345928_cov_56.170083-snap-gene-1.68-mRNA-1	PTHR43986	NA	IPR001662	GO:0003746;GO:0006414;GO:0005515	Reactome: R-HSA-156842	PF00647;PF02798;PF00043	NA	mobidb-lite	NA	NA	cd03181;cd03044	G3DSA:1.20.1050.10;G3DSA:3.40.30.10;G3DSA:3.30.70.1010	SSF52833;SSF89942;SSF47616	PS50040;PS50404;PS50405	SM01183	NA	SFLDS00019;SFLDG00358	NA	NA	NA	NA	NA	NA	NA
maker-NODE_17_length_413467_cov_55.970450-augustus-gene-1.6-mRNA-1	PTHR11177;PTHR11177:SF303	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	IPR001579	GO:0004553;GO:0005975;GO:0008061	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	PF00704	TMhelix	NA	NA	PS01095	cd06548	G3DSA:3.20.20.80;G3DSA:3.10.50.10	SSF54556;SSF51445	NA	SM00636	NA	NA	NA	SignalP-TM	SignalP-noTM	NA	NA	NA	NA
maker-NODE_4_length_718053_cov_59.395713-snap-gene-6.223-mRNA-1	PTHR43591:SF10;PTHR43591	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR029063	NA	NA	PF13489	NA	mobidb-lite	NA	NA	cd02440	G3DSA:3.40.50.150	SSF53335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_30_length_285380_cov_56.027165-snap-gene-0.195-mRNA-1	PTHR10414;PTHR10414:SF61	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	IPR014472	GO:0008654;GO:0016020;GO:0016780	NA	PF01066	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF015665	NA
maker-NODE_34_length_266141_cov_58.906685-augustus-gene-1.30-mRNA-1	PTHR24096:SF267;PTHR24096	NA	IPR020845	GO:0003824	NA	PF00501;PF13193	NA	NA	NA	PS00455	NA	G3DSA:3.40.50.12780;G3DSA:3.30.300.30	SSF56801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_37_length_252058_cov_61.114793-augustus-gene-1.75-mRNA-1	PTHR12800;PTHR12800:SF4	NA	IPR038189	GO:0019901	Reactome: R-HSA-1227986|Reactome: R-HSA-1236382|Reactome: R-HSA-5637810|Reactome: R-HSA-8863795	PF03234;PF08565;PF08564	NA	mobidb-lite	Coil	NA	NA	G3DSA:1.20.58.610	SSF101391	NA	SM01069;SM01071;SM01070	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_45_length_191285_cov_56.782782-snap-gene-0.317-mRNA-1	PTHR44029	NA	IPR036869	GO:0003676;GO:0008270	NA	PF12171;PF00226	NA	mobidb-lite	Coil	PS00028;PS00636	cd06257	G3DSA:1.10.287.110;G3DSA:3.30.160.60	SSF46565;SSF57667	PS50157;PS50076	SM00451;SM00271;SM00355	PR00625	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_29_length_304748_cov_57.569130-snap-gene-1.42-mRNA-1	PTHR10173;PTHR10173:SF52	NA	IPR002579	GO:0033743;GO:0055114;GO:0006979;GO:0016671;GO:0030091	Reactome: R-HSA-5676934	PF01641	NA	NA	NA	NA	NA	G3DSA:2.170.150.20	SSF51316	PS51790	NA	NA	NA	TIGR00357	NA	NA	NA	NA	NA	NA
maker-NODE_25_length_345928_cov_56.170083-snap-gene-2.376-mRNA-1	PTHR24093;PTHR24093:SF373	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR018303	GO:0006812;GO:0016021;GO:0016887;GO:0000166	Reactome: R-HSA-936837	PF12409;PF00702;PF00122	TMhelix	NA	NA	PS00154	cd07542	G3DSA:2.70.150.10;G3DSA:3.40.50.1000;G3DSA:1.20.1110.10;G3DSA:3.40.1110.10	SSF81665;SSF56784;SSF81653;SSF81660	NA	NA	PR00119	SFLDS00003;SFLDF00027	TIGR01657;TIGR01494	NA	NA	NA	NA	NA	NA
snap_masked-NODE_15_length_426026_cov_57.133846-processed-gene-0.10-mRNA-1	PTHR37848	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_20_length_387202_cov_58.679540-snap-gene-2.557-mRNA-1	PTHR19918;PTHR19918:SF5	NA	IPR001680	GO:0005515;GO:0010997;GO:0097027;GO:1904668	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.130.10.10	SSF50978	PS50294;PS50082	SM00320	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_40_length_236980_cov_57.581306-processed-gene-1.247-mRNA-1	PTHR12844:SF39;PTHR12844	NA	IPR000159	GO:0007165;GO:0005515	NA	PF07647;PF00788	NA	mobidb-lite	Coil	NA	cd09533	G3DSA:1.10.150.50;G3DSA:3.10.20.90	SSF54236;SSF47769	PS50105;PS50200	SM00314;SM00454	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_48_length_175738_cov_60.050008-snap-gene-0.305-mRNA-1	PTHR31503;PTHR31503:SF18	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR004837	GO:0016021;GO:0055085	Reactome: R-HSA-425561	PF01699	TMhelix	mobidb-lite	NA	NA	NA	G3DSA:1.20.58.1130;G3DSA:1.20.1420.30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_10_length_512366_cov_57.665072-snap-gene-3.17-mRNA-1	PTHR40463	NA	IPR004328	GO:0071467	NA	NA	NA	mobidb-lite	NA	NA	NA	G3DSA:1.25.40.280	NA	PS51180	SM01041	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_22_length_372926_cov_58.633942-processed-gene-2.338-mRNA-1	PTHR11097:SF9;PTHR11097	NA	IPR036345	GO:0000178;GO:0006396;GO:0006401	Reactome: R-HSA-380994|Reactome: R-HSA-429958|Reactome: R-HSA-450385|Reactome: R-HSA-450513|Reactome: R-HSA-450604|Reactome: R-HSA-6791226	PF01138	NA	mobidb-lite	NA	NA	NA	G3DSA:3.30.230.70	SSF55666;SSF54211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_62_length_126088_cov_56.581196-augustus-gene-0.36-mRNA-1	PTHR12905:SF16;PTHR12905	NA	IPR004843	GO:0016787	NA	PF00149	NA	mobidb-lite	NA	NA	cd07379	G3DSA:3.60.21.10	SSF56300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_28_length_307899_cov_56.759910-snap-gene-1.223-mRNA-1	PTHR31944:SF32;PTHR31944	NA	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	PF04082	NA	mobidb-lite	Coil	NA	cd12148	NA	NA	NA	SM00906	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_42_length_197979_cov_55.852400-processed-gene-0.106-mRNA-1	PTHR10728;PTHR10728:SF33	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	IPR002642	GO:0004620;GO:0009395	Reactome: R-HSA-1482788|Reactome: R-HSA-1482801|Reactome: R-HSA-1482839|Reactome: R-HSA-1482922|Reactome: R-HSA-1483115	PF01735	NA	mobidb-lite	NA	NA	NA	G3DSA:3.40.1090.10	SSF52151	PS51210	SM00022	NA	NA	NA	SignalP-TM	SignalP-noTM	NA	NA	NA	NA
maker-NODE_55_length_144644_cov_47.021375-snap-gene-0.58-mRNA-1	PTHR22908:SF70;PTHR22908	NA	IPR035441	GO:0005634	NA	PF08711	NA	mobidb-lite	NA	NA	NA	G3DSA:1.20.930.10	SSF47676	PS51319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_4_length_718053_cov_59.395713-processed-gene-0.227-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_21_length_380954_cov_56.979182-augustus-gene-1.239-mRNA-1	PTHR10263;PTHR10263:SF18	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR000245	GO:0015078;GO:0015991;GO:0033179;GO:0033177	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-983712	PF00137	TMhelix	NA	NA	NA	NA	G3DSA:1.20.120.610	SSF81333	NA	NA	PR00122	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_25_length_345928_cov_56.170083-processed-gene-2.297-mRNA-1	PTHR40644	NA	IPR038871	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_54_length_146565_cov_54.406336-augustus-gene-0.256-mRNA-1	PTHR30618;PTHR30618:SF2	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR012681	GO:0016020;GO:0022857;GO:0055085	NA	PF02133	TMhelix	NA	NA	NA	cd11482	G3DSA:1.10.4160.10	NA	NA	NA	NA	NA	TIGR00800	NA	NA	NA	NA	NA	NA
maker-NODE_21_length_380954_cov_56.979182-snap-gene-2.12-mRNA-1	PTHR11133;PTHR11133:SF14	NA	IPR032095	GO:0016491;GO:0055114	Reactome: R-HSA-71064	PF16653;PF03435	NA	NA	NA	NA	NA	G3DSA:3.40.50.720;G3DSA:3.30.360.10;G3DSA:1.10.1870.10	SSF55347;SSF51735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_1425273_cov_58.493042-augustus-gene-5.13-mRNA-1	PTHR24351:SF29;PTHR24351	NA	IPR000719	GO:0004672;GO:0005524;GO:0006468	NA	PF00069	NA	mobidb-lite	NA	PS00108	cd05574	G3DSA:1.10.510.10;G3DSA:3.30.200.20	SSF56112	PS50011	SM00220	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_31_length_278666_cov_58.460664-processed-gene-1.11-mRNA-1	PTHR43176;PTHR43176:SF3	NA	IPR018376	GO:0003824;GO:0003860	Reactome: R-HSA-70895	PF16113	NA	NA	NA	PS00166	cd06558	G3DSA:3.90.226.10	SSF52096	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_21_length_380954_cov_56.979182-augustus-gene-2.383-mRNA-1	PTHR22914:SF13;PTHR22914	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR014876	GO:0016758	KEGG: 00520+2.4.1.16|MetaCyc: PWY-6981	PF08766;PF03142;PF00173	TMhelix	NA	NA	NA	NA	G3DSA:1.20.120.720;G3DSA:1.10.10.820;G3DSA:3.90.550.10	SSF55856;SSF52540;SSF53448;SSF109715	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_35_length_262196_cov_59.525049-snap-gene-1.118-mRNA-1	PTHR22601:SF9;PTHR22601	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	IPR004813	GO:0055085	NA	PF03169	TMhelix	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00728;TIGR00727	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_138_length_25738_cov_54.112491-processed-gene-0.8-mRNA-1	PTHR43039:SF3;PTHR43039	NA	IPR000073	NA	NA	PF12697	NA	NA	NA	NA	NA	G3DSA:3.40.50.1820	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_119_length_31193_cov_38.328784-snap-gene-0.73-mRNA-1	PTHR11740:SF13;PTHR11740	NA	IPR000704	GO:0005956;GO:0019887	Reactome: R-HSA-1483191|Reactome: R-HSA-201688|Reactome: R-HSA-2514853|Reactome: R-HSA-445144|Reactome: R-HSA-6798695|Reactome: R-HSA-6804756|Reactome: R-HSA-6814122|Reactome: R-HSA-8934903|Reactome: R-HSA-8939243|Reactome: R-HSA-8948751	PF01214	NA	mobidb-lite	NA	PS01101	NA	G3DSA:2.20.25.20;G3DSA:1.10.1820.10	SSF57798	NA	SM01085	PR00472	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_21_length_380954_cov_56.979182-augustus-gene-2.408-mRNA-1	PTHR12653	NA	IPR006806	GO:0005747;GO:0022904	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	PF04716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_27_length_330426_cov_57.138596-snap-gene-2.8-mRNA-1	PTHR15451	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	IPR005352	GO:0016021	NA	PF03694	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_1425273_cov_58.493042-processed-gene-11.14-mRNA-1	PTHR11203;PTHR11203:SF5	NA	IPR022712	GO:0005847;GO:0006378;GO:0006379	Reactome: R-HSA-109688|Reactome: R-HSA-159231|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-77595	PF10996;PF07521;PF16661;PF13299	NA	mobidb-lite	NA	NA	cd16293	G3DSA:3.60.15.10	SSF56281	NA	SM01027	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_295_length_7808_cov_11.320401-protein2genome-gene-0.0-mRNA-1	PTHR11009;PTHR11009:SF0	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	IPR007599		Reactome: R-HSA-382556|Reactome: R-HSA-5678895	PF04511	TMhelix	NA	NA	NA	NA	NA	SSF144091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_22_length_372926_cov_58.633942-augustus-gene-2.426-mRNA-1	PTHR11787:SF4;PTHR11787	NA	IPR017230	GO:0007264;GO:0005092	Reactome: R-HSA-8876198	PF00996	NA	NA	NA	NA	NA	G3DSA:1.10.405.10;G3DSA:3.30.519.10;G3DSA:3.50.50.60	SSF51905	NA	NA	PR00891;PR00894	NA	NA	NA	NA	NA	NA	PIRSF037514	NA
maker-NODE_9_length_540689_cov_55.537295-augustus-gene-3.8-mRNA-1	PTHR11822	NA	IPR024084	GO:0016616;GO:0055114;GO:0004450;GO:0006102;GO:0000287;GO:0051287	Reactome: R-HSA-71403	PF00180	NA	NA	NA	PS00470	NA	G3DSA:3.40.718.10	SSF53659	NA	SM01329	NA	NA	TIGR00127	NA	NA	NA	NA	PIRSF000108	NA
maker-NODE_34_length_266141_cov_58.906685-augustus-gene-0.187-mRNA-1	PTHR23055;PTHR23055:SF60	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	IPR011992	GO:0005509;GO:0008270	NA	PF00569	NA	mobidb-lite	Coil	PS00018;PS01357	cd02340;cd00051	G3DSA:3.30.60.90;G3DSA:1.10.238.10	SSF47473;SSF57850	PS50222;PS50135	SM00054;SM00291	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_24_length_361226_cov_55.322806-augustus-gene-1.14-mRNA-1	PTHR44251	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR032832	GO:0000836;GO:0016567;GO:0030433;GO:0061630;GO:0008270	MetaCyc: PWY-7511|Reactome: R-HSA-381038|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-901032	PF12678	TMhelix	mobidb-lite	Coil	NA	cd16479	G3DSA:3.30.40.10	SSF57850	PS50089	SM00184	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_29_length_304748_cov_57.569130-processed-gene-2.19-mRNA-1	PTHR11278:SF0;PTHR11278	NA	IPR000554	GO:0003735;GO:0005622;GO:0005840;GO:0006412	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6790901|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PF01251	NA	mobidb-lite	NA	PS00948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_50_length_160537_cov_57.630279-snap-gene-0.102-mRNA-1	PTHR31806:SF5;PTHR31806	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR001248	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0016021	NA	PF02133	TMhelix	mobidb-lite	NA	NA	NA	G3DSA:1.10.4160.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF002744	NA
snap_masked-NODE_10_length_512366_cov_57.665072-processed-gene-3.209-mRNA-1	PTHR10996;PTHR10996:SF206	NA	IPR029752	GO:0051287;GO:0055114;GO:0016616	NA	PF02826;PF00389	NA	NA	NA	PS00065;PS00671	cd12168	G3DSA:3.40.50.720	SSF51735;SSF52283	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
snap_masked-NODE_6_length_604053_cov_57.456056-processed-gene-3.192-mRNA-1	PTHR30620;PTHR30620:SF16	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	IPR017853	GO:0004553;GO:0005975	NA	PF00933	NA	NA	NA	NA	NA	G3DSA:3.20.20.300	SSF51445	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
snap_masked-NODE_18_length_409824_cov_57.109259-processed-gene-3.191-mRNA-1	PTHR31069;PTHR31069:SF7	NA	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF00172	NA	mobidb-lite	NA	NA	cd00067	G3DSA:4.10.240.10	SSF57701	PS50048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_45_length_191285_cov_56.782782-augustus-gene-0.60-mRNA-1	PTHR12673;PTHR12673:SF155	NA	IPR000219	GO:0005089;GO:0035023;GO:0035556;GO:0005515	NA	PF00780;PF00621;PF15405;PF00610	NA	mobidb-lite	Coil	NA	cd04435;cd00160	G3DSA:2.30.29.30;G3DSA:1.20.900.10;G3DSA:1.10.10.10	SSF50978;SSF50729;SSF48065;SSF46785	PS50010;PS50186;PS50219	SM00036;SM00325;SM00049	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_46_length_189133_cov_58.105309-snap-gene-0.518-mRNA-1	PTHR23002;PTHR23002:SF96	NA	IPR001878	GO:0003676;GO:0008270;GO:0005509	NA	PF14392;PF00098	NA	mobidb-lite	NA	NA	NA	G3DSA:4.10.60.10	SSF57756	PS50158;PS50222	SM00343	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_40_length_236980_cov_57.581306-processed-gene-0.13-mRNA-1	PTHR11545:SF2;PTHR11545	NA	IPR005822	GO:0003735;GO:0005840;GO:0006412	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	PF00572	NA	NA	NA	NA	cd00392	G3DSA:3.90.1180.10	SSF52161	NA	NA	NA	NA	TIGR01066	NA	NA	NA	MF_01366	PIRSF002181	NA
augustus_masked-NODE_1_length_1425273_cov_58.493042-processed-gene-1.22-mRNA-1	PTHR13683:SF345;PTHR13683	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	IPR001969	GO:0004190;GO:0006508	NA	PF00026	NA	NA	NA	PS00141	cd06097	G3DSA:2.40.70.10	SSF50630	PS51767	NA	PR00792	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
maker-NODE_1_length_1425273_cov_58.493042-snap-gene-0.209-mRNA-1	PTHR11947;PTHR11947:SF3	NA	IPR003594	GO:0004672;GO:0016310;GO:0016772	Reactome: R-HSA-204174|Reactome: R-HSA-5362517	PF02518;PF10436	NA	mobidb-lite	NA	NA	cd00075	G3DSA:3.30.565.10;G3DSA:1.20.140.20	SSF69012;SSF55874	PS50109	SM00387	PR00344	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_29_length_304748_cov_57.569130-snap-gene-2.45-mRNA-1	PTHR11977;PTHR11977:SF55	NA	IPR007122	GO:0051015;GO:0030036;GO:0051014	NA	PF13254	NA	mobidb-lite	NA	NA	NA	G3DSA:3.40.20.10	SSF55753	NA	SM00262	PR00597	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_56_length_143953_cov_48.658316-augustus-gene-0.39-mRNA-1	PTHR10126;PTHR10126:SF20	NA	IPR000814	GO:0003677;GO:0006352	NA	PF00352	NA	NA	NA	PS00351	cd04516	G3DSA:3.30.310.10	SSF55945	NA	NA	PR00686	NA	NA	NA	NA	NA	MF_00408	NA	NA
maker-NODE_3_length_752009_cov_57.006766-augustus-gene-1.12-mRNA-1	PTHR11913:SF12;PTHR11913	NA	IPR002108	GO:0003779;GO:0005622;GO:0015629;GO:0030042	NA	PF00241	NA	NA	NA	NA	cd11286	G3DSA:3.40.20.10	SSF55753	PS51263	SM00102	PR00006	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_29_length_304748_cov_57.569130-augustus-gene-0.24-mRNA-1	PTHR43226:SF4;PTHR43226	NA	IPR007865	GO:0004177;GO:0030145	NA	PF05195;PF00557	NA	NA	NA	NA	cd01087	G3DSA:3.40.350.10;G3DSA:3.90.230.10	SSF53092;SSF55920	NA	SM01011	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_57_length_138242_cov_55.970148-snap-gene-0.61-mRNA-1	PTHR11200:SF249;PTHR11200	NA	IPR005135	GO:0046856;GO:0042578	NA	PF03372;PF02383	NA	mobidb-lite	NA	NA	NA	G3DSA:3.60.10.10	SSF56219	PS50275	SM00128	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_40_length_236980_cov_57.581306-processed-gene-1.214-mRNA-1	PTHR13693;PTHR13693:SF3	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR015422	GO:0003824;GO:0009058;GO:0030170	NA	PF00155	NA	mobidb-lite	NA	NA	cd06454	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	SSF53383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_50_length_160537_cov_57.630279-snap-gene-0.100-mRNA-1	PTHR11926:SF417;PTHR11926	NA	IPR001849	GO:0005975;GO:0016758;GO:0030259	KEGG: 00550+2.4.1.227|MetaCyc: PWY-5265|MetaCyc: PWY-6385|MetaCyc: PWY-6470|MetaCyc: PWY-6471	PF03033;PF00169;PF00201;PF02893	NA	mobidb-lite	NA	NA	cd13216;cd03784;cd13215	G3DSA:3.40.50.2000;G3DSA:2.30.29.30	SSF53756;SSF50729	PS50003	SM00568;SM00233	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_22_length_372926_cov_58.633942-processed-gene-1.51-mRNA-1	PTHR19857;PTHR19857:SF8	NA	IPR001680	GO:0005515	NA	PF00400	NA	NA	NA	PS00678	NA	G3DSA:2.130.10.10	SSF50978;SSF50969	PS50082;PS50294	SM00320	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_73_length_89340_cov_56.162062-processed-gene-0.29-mRNA-1	PTHR43327:SF10;PTHR43327	NA	IPR036013	GO:0016020	Reactome: R-HSA-8949664	PF01145;PF16200	NA	NA	NA	NA	cd08829	G3DSA:3.30.479.30	SSF117892	NA	SM00244	PR00721	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_18_length_409824_cov_57.109259-processed-gene-1.58-mRNA-1	PTHR23172:SF19;PTHR23172	NA	IPR009060	GO:0005515	NA	NA	NA	mobidb-lite	Coil	NA	NA	G3DSA:1.10.8.10;G3DSA:1.25.40.10;G3DSA:1.10.287.110	SSF46934;SSF46565;SSF48452	PS50030	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_8_length_558485_cov_55.498657-processed-gene-0.14-mRNA-1	PTHR19375;PTHR19375:SF331	NA	IPR013126		Reactome: R-HSA-3371453	PF00012	NA	mobidb-lite	NA	NA	NA	G3DSA:3.90.640.10;G3DSA:3.30.420.40;G3DSA:3.30.30.30	SSF53067	NA	NA	PR00301	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_119_length_31193_cov_38.328784-processed-gene-0.65-mRNA-1	PTHR10165:SF35;PTHR10165	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	IPR036938	NA	NA	PF01569	TMhelix	mobidb-lite	NA	NA	cd03390	G3DSA:1.20.144.10	SSF48317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_107_length_40903_cov_43.036051-processed-gene-0.39-mRNA-1	PTHR12526;PTHR12526:SF372	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR028098		Reactome: R-HSA-446193|Reactome: R-HSA-4549349	PF13579;PF00534	TMhelix	mobidb-lite	NA	NA	cd03814	G3DSA:3.40.50.2000	SSF53756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
