Gene	interpro	Pfam	Phobius	SUPERFAMILY	TMHMM	PANTHER	MobiDBLite	Gene3D	Coils	GO	SMART	PATHWAY	PRINTS	ProSitePatterns	CDD	ProSiteProfiles	SignalP_GRAM_POSITIVE	PIRSF	Hamap	TIGRFAM	SignalP_EUK	SignalP_GRAM_NEGATIVE	SFLD	ProDom
PTB60664.1	IPR011335	PF02732	NA	SSF52980;SSF47781	NA	PTHR10150	mobidb-lite	G3DSA:1.10.150.20;G3DSA:3.40.50.10130	Coil	GO:0003677;GO:0004518;GO:0003697;GO:0004520;GO:0006281	SM00891	Reactome: R-HSA-6783310	NA	NA	NA	NA	NA	NA	NA	TIGR00596	NA	NA	NA	NA
PTB53249.1	IPR036259	PF07690	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	SSF103473	TMhelix	PTHR23501:SF145;PTHR23501	NA	G3DSA:1.20.1720.10	NA	GO:0016021;GO:0055085;GO:0005215	NA	NA	PR01035	NA	cd06174	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PTB58793.1	IPR001623	PF00226;PF13432;PF13181;PF14559	NA	SSF46565;SSF48452	NA	PTHR44200	mobidb-lite	G3DSA:1.10.287.110;G3DSA:1.25.40.10	Coil	GO:0005515	SM00271;SM00028	NA	PR00625	NA	cd06257	PS50005;PS50076;PS50293	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
PTB47685.1	IPR029070	PF01476;PF00704	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	SSF57016;SSF54106;SSF54556;SSF51445	NA	PTHR11177:SF231;PTHR11177	NA	G3DSA:3.10.50.10;G3DSA:3.10.350.10;G3DSA:3.30.60.10;G3DSA:3.20.20.80	NA	GO:0008061;GO:0005975;GO:0004553	SM00257;SM00636	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	NA	PS01095	cd02878;cd00035;cd00118	PS51782	NA	NA	NA	NA	NA	NA	NA	PD000609
PTB50303.1	IPR011011	PF12998	NA	SSF57903	NA	PTHR10333;PTHR10333:SF42	mobidb-lite	G3DSA:3.30.40.10	Coil	NA	SM01408;SM00249	NA	NA	PS01359	cd15505	PS50016	NA	NA	NA	NA	NA	NA	NA	NA
PTB56324.1	IPR001370	PF00653	NA	SSF57924	NA	PTHR10044:SF139;PTHR10044	mobidb-lite	G3DSA:1.10.1170.10	Coil	GO:0003677	SM00238;SM00384	NA	PR00929	NA	cd00022	PS50143	NA	NA	NA	NA	NA	NA	NA	NA
PTB54847.1	IPR038736	PF08449	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	SSF103481	TMhelix	PTHR44752	mobidb-lite	NA	NA	GO:0055085	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00803	NA	NA	NA	NA
PTB49298.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52897.1	IPR010987	PF13417;PF00043	NA	SSF47616;SSF52833	NA	NA	NA	G3DSA:1.20.1050.10;G3DSA:3.40.30.110	NA	GO:0005515	NA	NA	NA	NA	cd00570	PS50405	NA	NA	NA	NA	NA	NA	NA	NA
PTB51702.1	IPR001270	PF07724;PF17871;PF02861;PF10431;PF00004	NA	SSF52540;SSF81923	NA	PTHR11638;PTHR11638:SF127	NA	G3DSA:3.40.50.300;G3DSA:1.10.8.60;G3DSA:1.10.1780.10	Coil	GO:0005524;GO:0019538	SM00382;SM01086	NA	PR00300	PS00871;PS00870	cd00009	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB60468.1	IPR030844	PF18101	NA	SSF56112	NA	PTHR12272	mobidb-lite	G3DSA:1.10.510.10	NA	GO:0000289;GO:0003723;GO:0006397;GO:0031251;GO:0046872;GO:0004672;GO:0005524;GO:0006468	SM00220	Reactome: R-HSA-429947	NA	NA	cd00180	PS50103	NA	NA	MF_03181	NA	NA	NA	NA	NA
PTB60997.1	IPR014001	PF08797;PF00176;PF13923;PF00271	NA	SSF57850;SSF52540	NA	PTHR10799;PTHR10799:SF821	mobidb-lite	G3DSA:3.30.70.2330;G3DSA:3.30.40.10;G3DSA:3.40.50.10810	NA	GO:0003676;GO:0008270;GO:0016818;GO:0005524	SM00490;SM00184;SM00487;SM00910	Reactome: R-HSA-8866654	NA	PS00518	cd16509;cd00079;cd00046	PS51192;PS50089;PS51194	NA	NA	NA	NA	NA	NA	NA	NA
PTB48680.1	IPR008030	PF05368	NA	SSF51735	NA	PTHR14194:SF98;PTHR14194	NA	G3DSA:3.90.25.10;G3DSA:3.40.50.720	NA		NA	Reactome: R-HSA-70635	NA	NA	cd05259	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB53861.1	IPR020846	PF07690	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SSF103473	TMhelix	PTHR11360;PTHR11360:SF125	NA	G3DSA:1.20.1250.20	NA	GO:0016021;GO:0055085	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51072.1	IPR000692	PF01269	NA	SSF53335	NA	PTHR10335:SF6;PTHR10335	NA	G3DSA:3.40.50.150;G3DSA:3.30.200.20	NA	GO:0003723;GO:0006364;GO:0008168	SM01206	NA	PR00052	NA	cd02440	NA	NA	PIRSF006540	MF_00351	NA	NA	NA	NA	NA
PTB48224.1	IPR020846	PF07690	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	SSF103473	TMhelix	PTHR23502:SF33;PTHR23502	mobidb-lite	G3DSA:1.20.1250.20	NA	GO:0016021;GO:0055085	NA	NA	NA	NA	cd06174	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PTB48717.1	IPR013320	PF05270;PF09206	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	SSF49899;SSF110221	NA	PTHR39447	NA	G3DSA:2.60.120.200;G3DSA:2.80.10.50	NA	GO:0046373;GO:0046556;GO:0019566;GO:0031221	NA	KEGG: 00520+3.2.1.55	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA
PTB56306.1	IPR020583	PF00459	NA	SSF56655	NA	PTHR43200;PTHR43200:SF6	NA	G3DSA:3.40.190.80;G3DSA:3.30.540.10	Coil	GO:0046854;GO:0006790;GO:0008441	NA	KEGG: 00920+3.1.3.7	NA	PS00629;PS00630	cd01517	NA	NA	NA	NA	TIGR01330	NA	NA	NA	NA
PTB61216.1	IPR027417	PF00735	NA	SSF52540	NA	PTHR18884:SF109;PTHR18884	mobidb-lite	G3DSA:3.40.50.300	Coil	GO:0005525	NA	NA	NA	NA	cd01850	PS51719	NA	PIRSF006698	NA	NA	NA	NA	NA	NA
PTB51104.1	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
PTB47271.1	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB60056.1	IPR036881	PF00933;PF01915;PF14310	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	SSF51445;SSF52279	NA	PTHR42721;PTHR42721:SF3	NA	G3DSA:3.40.50.1700;G3DSA:3.20.20.300;G3DSA:2.60.40.10	NA	GO:0004553;GO:0005975	SM01217	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA
PTB51644.1	IPR021840	PF11915	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	PTHR37544:SF1;PTHR37544	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB60604.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
PTB57367.1	IPR035994	NA	NA	SSF53167;SSF52540	NA	PTHR21234;PTHR21234:SF16	NA	G3DSA:3.40.50.300	NA	GO:0003824;GO:0009116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54691.1	IPR008030	PF05368	NA	SSF51735	NA	PTHR42748	NA	G3DSA:3.90.25.10;G3DSA:3.40.50.720	NA		NA	Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB53571.1	IPR031728	PF16862	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	SSF51445	NA	PTHR36183;PTHR36183:SF2	NA	G3DSA:2.60.40.1180;G3DSA:3.20.20.80	NA		NA	KEGG: 00040+3.2.1.31|KEGG: 00531+3.2.1.31|KEGG: 00860+3.2.1.31|KEGG: 00944+3.2.1.31|KEGG: 00983+3.2.1.31|MetaCyc: PWY-7247|MetaCyc: PWY-7445	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
PTB54944.1	IPR000433	PF00569	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	SSF57850;SSF47473	NA	PTHR23055;PTHR23055:SF60	mobidb-lite	G3DSA:3.30.60.90;G3DSA:1.10.238.10	NA	GO:0008270;GO:0005509	SM00291;SM00054	NA	NA	PS00018;PS01357	cd02340;cd00051	PS50222;PS50135	NA	NA	NA	NA	NA	NA	NA	NA
PTB54533.1	IPR003663	PF00083	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	SSF103473	TMhelix	PTHR23500:SF87;PTHR23500	NA	G3DSA:1.20.1250.20	NA	GO:0016020;GO:0022857;GO:0055085;GO:0016021	NA	Reactome: R-HSA-189200	NA	NA	cd06174	PS50850	NA	NA	NA	TIGR00879	NA	NA	NA	NA
PTB50479.1	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION	NA	NA	PTHR39219	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA
PTB59503.1	IPR022125	PF12397;PF08146	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	SSF48371	TMhelix	PTHR13457	mobidb-lite	NA	NA		SM01036	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58735.1	IPR004837	PF01699	TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	TMhelix	PTHR12266:SF0;PTHR12266	mobidb-lite	G3DSA:1.20.1420.30	NA	GO:0016021;GO:0055085	NA	Reactome: R-HSA-425561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61265.1	IPR036400	PF00173;PF03142;PF08766	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	SSF109715;SSF52540;SSF55856;SSF53448	TMhelix	PTHR22914;PTHR22914:SF13	NA	G3DSA:3.10.120.10;G3DSA:1.10.10.820;G3DSA:3.90.550.10	NA	GO:0016758;GO:0003774;GO:0005524;GO:0016459	SM01117;SM00242	KEGG: 00520+2.4.1.16|MetaCyc: PWY-6981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB56414.1	NA	NA	SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	TMhelix	PTHR37278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55278.1	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49407.1	NA	NA	NA	SSF89372	NA	NA	NA	G3DSA:2.120.10.70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59833.1	IPR007130	PF03982	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	PTHR12317;PTHR12317:SF0	mobidb-lite	NA	NA	GO:0016747	NA	NA	NA	NA	cd07987	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61037.1	IPR005479	PF02142;PF02787;PF02729;PF00988;PF02786;PF00117;PF00185	NA	SSF56059;SSF51556;SSF52335;SSF52440;SSF52317;SSF52021;SSF48108;SSF53671	NA	PTHR11405;PTHR11405:SF5	NA	G3DSA:3.40.50.1380;G3DSA:3.40.50.20;G3DSA:3.20.20.140;G3DSA:3.40.50.1370;G3DSA:3.30.470.20;G3DSA:3.40.50.880;G3DSA:3.30.1490.20;G3DSA:1.10.1030.10;G3DSA:3.50.30.20	NA	GO:0005524;GO:0004088;GO:0006207;GO:0006541;GO:0046872;GO:0006520;GO:0016597;GO:0016743;GO:0004070;GO:0006807	SM01096;SM01097;SM00851	KEGG: 00240+6.3.5.5|KEGG: 00250+6.3.5.5|MetaCyc: PWY-5154|MetaCyc: PWY-5686|MetaCyc: PWY-7400|MetaCyc: PWY-7790|MetaCyc: PWY-7791	PR00099;PR00101;PR00098;PR00100	PS00867;PS00097;PS00866	cd01744;cd01423	PS51273;PS50975	NA	NA	MF_01209	TIGR01368;TIGR01369;TIGR00670	NA	NA	NA	NA
PTB54458.1	IPR000352	PF00472;PF03462;PF07690	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	SSF103473;SSF75620	TMhelix	PTHR11360:SF130;PTHR11360	NA	G3DSA:3.30.160.20;G3DSA:3.30.70.1660;G3DSA:1.20.1250.20	Coil	GO:0003747;GO:0006415;GO:0016021;GO:0055085	SM00937	NA	NA	PS00745	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52519.1	IPR024527	PF12757	NA	NA	NA	PTHR28298	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB50088.1	IPR000254	PF00734;PF00840	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	SSF49899;SSF57180	NA	PTHR33753:SF1;PTHR33753	mobidb-lite	G3DSA:2.70.100.10	NA	GO:0005576;GO:0005975;GO:0030248;GO:0004553	SM00236	NA	PR00734	PS00562	cd07999	PS51164	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	PD001821
PTB58548.1	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB57303.1	IPR012340	PF05958	NA	SSF50249;SSF53335	NA	PTHR11061;PTHR11061:SF30	mobidb-lite	G3DSA:2.40.50.140;G3DSA:3.40.50.150	NA	GO:0006396;GO:0008173;GO:0008033;GO:0030697	NA	NA	NA	PS01231;PS01230	cd02440	PS50926;PS51622;PS51687	NA	NA	NA	NA	NA	NA	NA	NA
PTB53460.1	IPR011701	PF07690	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	SSF103473	TMhelix	PTHR23501;PTHR23501:SF102	NA	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	NA	GO:0016021;GO:0055085;GO:0005215	NA	NA	PR01036	PS00216	cd06174	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PTB49801.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58191.1	IPR016715	PF03403	NA	SSF53474	NA	PTHR10272:SF7;PTHR10272	mobidb-lite	G3DSA:3.40.50.1820	NA	GO:0003847;GO:0016042	NA	KEGG: 00565+3.1.1.47	NA	NA	NA	NA	NA	PIRSF018169	NA	NA	NA	NA	NA	NA
PTB61112.1	IPR003439	PF00005;PF00664	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	SSF52540;SSF90123	TMhelix	PTHR24223	mobidb-lite	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	NA	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	SM00382	NA	NA	PS00211	cd03244;cd03250	PS50893;PS50929	NA	NA	NA	NA	NA	NA	NA	NA
PTB60858.1	IPR016219	PF04191	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	PTHR32138	mobidb-lite	NA	NA	GO:0004608;GO:0006644	NA	KEGG: 00564+2.1.1.17|MetaCyc: PWY-6825	NA	NA	NA	PS51598	NA	PIRSF000383	MF_03217	NA	NA	NA	NA	NA
PTB58460.1	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52606.1	IPR036915	PF02984;PF00134	NA	SSF47954	NA	PTHR10177:SF348;PTHR10177	mobidb-lite	G3DSA:1.10.472.10	NA	GO:0005634	SM01332;SM00385	NA	NA	PS00292	cd00043	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51464.1	IPR001138	PF00172	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SSF57701	NA	PTHR31845:SF16;PTHR31845	mobidb-lite	G3DSA:4.10.240.10	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	NA	PS00463	cd00067	PS50048	NA	NA	NA	NA	NA	NA	NA	NA
PTB52972.1	IPR034193	PF05922;PF00082	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	SSF54897;SSF52743	NA	PTHR43806:SF25;PTHR43806	NA	G3DSA:3.40.50.200	NA	GO:0004252;GO:0006508	NA	Reactome: R-HSA-381426|Reactome: R-HSA-8866427|Reactome: R-HSA-8957275|Reactome: R-HSA-8964038	PR00723	PS00137;PS00136;PS00138	cd04077	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA
PTB54225.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58341.1	IPR036156	PF17786;PF00703;PF18368	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	SSF49303;SSF49785;SSF51445	NA	PTHR43536;PTHR43536:SF1	NA	G3DSA:2.60.120.260;G3DSA:2.60.40.10;G3DSA:3.20.20.80	NA	GO:0004553;GO:0005975;GO:0000272;GO:0005576;GO:0052761	NA	Reactome: R-HSA-2024096|Reactome: R-HSA-2160916|Reactome: R-HSA-2206292|Reactome: R-HSA-6798695	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA
PTB51206.1	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49113.1	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA
PTB56788.1	IPR014729	PF00795;PF02540	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	SSF52402;SSF56317	NA	PTHR23090:SF9;PTHR23090	NA	G3DSA:3.40.50.620;G3DSA:3.60.110.10	Coil	GO:0006807;GO:0003952;GO:0005524;GO:0009435	NA	KEGG: 00760+6.3.5.1|MetaCyc: PWY-5381|MetaCyc: PWY-5653|MetaCyc: PWY-7761|Reactome: R-HSA-196807	NA	NA	cd07570;cd00553	PS50263	NA	PIRSF006630	MF_02090	TIGR00552	NA	NA	NA	NA
PTB50899.1	IPR009097	PF08975	NA	SSF55144	NA	NA	NA	G3DSA:3.90.1140.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB60724.1	NA	NA	TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB50151.1	IPR000198	PF00620	NA	SSF48350	NA	PTHR15228;PTHR15228:SF25	mobidb-lite	G3DSA:1.10.555.10	NA	GO:0007165	SM00324	Reactome: R-HSA-194840	NA	NA	cd04396	PS50238	NA	NA	NA	NA	NA	NA	NA	NA
PTB58430.1	IPR020846	PF00083	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	SSF103473	TMhelix	PTHR23500;PTHR23500:SF103	NA	G3DSA:1.20.1250.20	NA	GO:0016021;GO:0022857;GO:0055085;GO:0016020	NA	Reactome: R-HSA-189200	NA	NA	cd06174	PS50850	NA	NA	NA	TIGR00879	NA	NA	NA	NA
PTB57865.1	IPR015940	NA	NA	SSF46934;SSF48452;SSF46565	NA	PTHR23172:SF19;PTHR23172	mobidb-lite	G3DSA:1.10.8.10;G3DSA:1.25.40.10;G3DSA:1.10.287.110	Coil	GO:0005515	SM00165	NA	NA	NA	NA	PS50030	NA	NA	NA	NA	NA	NA	NA	NA
PTB48401.1	NA	NA	NA	NA	NA	PTHR42656:SF2;PTHR42656	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51022.1	IPR002164	PF00956	NA	SSF143113	NA	PTHR11875;PTHR11875:SF7	mobidb-lite	G3DSA:3.30.1120.90	Coil	GO:0005634;GO:0006334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52108.1	IPR020472	PF04053;PF00400	NA	SSF50978	NA	PTHR19876:SF2;PTHR19876	mobidb-lite	G3DSA:1.25.40.470;G3DSA:2.130.10.10	Coil	GO:0005515;GO:0005198;GO:0006886;GO:0016192;GO:0030117	SM00320	Reactome: R-HSA-6807878|Reactome: R-HSA-6811434	PR00320	NA	cd00200	PS50082;PS50294	NA	PIRSF005567	NA	NA	NA	NA	NA	NA
PTB49575.1	IPR036770	NA	NA	SSF48403	NA	PTHR24149:SF1;PTHR24149	NA	G3DSA:1.25.40.20	NA	GO:0005515	NA	NA	NA	NA	cd00204	PS50297;PS50088	NA	NA	NA	NA	NA	NA	NA	NA
PTB57165.1	IPR029058	PF01738	NA	SSF53474	NA	PTHR17630:SF44;PTHR17630	NA	G3DSA:3.40.50.1820	NA	GO:0016787	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54688.1	IPR029044	PF05704	NA	SSF53448	NA	PTHR12042;PTHR12042:SF30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49658.1	IPR001611	PF13855;PF13516	NA	SSF52058	NA	PTHR44036:SF2;PTHR44036	mobidb-lite	G3DSA:3.80.10.10	Coil	GO:0005515	SM00364;SM00365;SM00369	NA	NA	NA	NA	PS51450	NA	NA	NA	NA	NA	NA	NA	NA
PTB55400.1	IPR036928	PF01425	NA	SSF75304	NA	PTHR11895:SF4;PTHR11895	NA	G3DSA:3.90.1300.10	NA	GO:0004040	NA	KEGG: 00970+6.3.5.7|MetaCyc: PWY-5921	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB56647.1	IPR036322	PF17034	NA	SSF50978	NA	PTHR16453;PTHR16453:SF9	mobidb-lite	NA	NA	GO:0005515	NA	NA	NA	NA	cd16691	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59932.1	IPR015075	PF08982	NA	SSF55961	NA	NA	NA	G3DSA:3.30.530.20	NA	NA	NA	NA	NA	NA	cd08863	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52432.1	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB53286.1	IPR036526	PF00795	NA	SSF56317	NA	PTHR23088:SF2;PTHR23088	NA	G3DSA:3.60.110.10	NA	GO:0006807	NA	NA	NA	NA	cd07564	PS50263	NA	NA	NA	NA	NA	NA	NA	NA
PTB58768.1	IPR008971	PF00226;PF01556;PF00684	NA	SSF49493;SSF57938;SSF46565	NA	PTHR43888	mobidb-lite	G3DSA:2.60.260.20;G3DSA:2.10.230.10;G3DSA:1.10.287.110	NA	GO:0006457;GO:0051082;GO:0005524;GO:0009408;GO:0031072	SM00271	NA	PR00625	PS00636	cd10747;cd10719;cd06257	PS50076;PS51188	NA	NA	MF_01152	NA	NA	NA	NA	NA
