Gene	interpro	Pfam	GO	PIRSF	Phobius	Gene3D	CDD	TMHMM	PANTHER	SUPERFAMILY	MobiDBLite	SignalP_EUK	ProSitePatterns	Coils	ProSiteProfiles	SMART	PATHWAY	TIGRFAM	SignalP_GRAM_POSITIVE	PRINTS	Hamap	SignalP_GRAM_NEGATIVE	ProDom	SFLD
maker-NODE_12_length_714536_cov_25.462417-augustus-gene-3.7-mRNA-1	IPR027417	NA	NA	NA	NA	G3DSA:3.40.50.300	NA	NA	PTHR10285:SF6;PTHR10285	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_23_length_483063_cov_24.362872-processed-gene-0.26-mRNA-1	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	TMhelix	PTHR19316;PTHR19316:SF26	NA	mobidb-lite	SignalP-noTM	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	SignalP-TM	NA	NA
maker-NODE_38_length_213953_cov_24.926057-augustus-gene-1.43-mRNA-1	IPR018803	PF10281	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	SignalP-noTM	NA	NA
maker-NODE_1_length_1806559_cov_23.166471-augustus-gene-5.5-mRNA-1	IPR035967	PF01266;PF01805	GO:0003723;GO:0006396;GO:0016491;GO:0055114	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	G3DSA:3.30.9.10;G3DSA:1.10.10.790	NA	TMhelix	PTHR23140	SSF109905;SSF51905	mobidb-lite	NA	NA	Coil	PS51391	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_14_length_638213_cov_25.283819-processed-gene-1.24-mRNA-1	IPR001680	PF00400	GO:0005515;GO:0006364;GO:0034511	NA	NA	G3DSA:2.130.10.10	NA	NA	PTHR19865:SF0;PTHR19865	SSF50978	mobidb-lite	NA	NA	Coil	PS50082;PS50294	SM00320	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_24_length_437981_cov_25.163338-processed-gene-1.47-mRNA-1	IPR019481	PF10419		NA	NA	G3DSA:3.30.200.170	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066	NA	NA	NA	NA	NA	NA	NA
maker-NODE_8_length_926964_cov_22.211756-augustus-gene-8.53-mRNA-1	IPR000704	PF01214;PF07064	GO:0005956;GO:0019887;GO:0006886;GO:0034066	NA	NA	G3DSA:2.20.25.20;G3DSA:1.10.1820.10	NA	NA	PTHR22746	SSF69322;SSF57798	mobidb-lite	NA	PS01101	Coil	NA	SM01085	Reactome: R-HSA-1483191|Reactome: R-HSA-201688|Reactome: R-HSA-2514853|Reactome: R-HSA-445144|Reactome: R-HSA-6798695|Reactome: R-HSA-6804756|Reactome: R-HSA-6814122|Reactome: R-HSA-8934903|Reactome: R-HSA-8939243|Reactome: R-HSA-8948751	NA	NA	PR00472	NA	NA	NA	NA
augustus_masked-NODE_34_length_270403_cov_23.853801-processed-gene-1.28-mRNA-1	IPR036775	PF16589;PF11799;PF16727;PF14377;PF00817	GO:0003684;GO:0006281;GO:0016779;GO:0042276	PIRSF036573	NA	G3DSA:3.30.1490.100;G3DSA:1.10.150.20;G3DSA:3.30.70.270;G3DSA:3.40.50.10190;G3DSA:1.20.58.1280;G3DSA:2.30.40.20	cd01701;cd00027	NA	PTHR11076;PTHR11076:SF12	SSF100879;SSF52113;SSF56672	mobidb-lite	NA	NA	Coil	PS50173;PS50172	SM00292	KEGG: 00230+2.7.7.7|KEGG: 00240+2.7.7.7|Reactome: R-HSA-5656169	NA	NA	NA	NA	NA	NA	NA
maker-NODE_21_length_530558_cov_24.609851-augustus-gene-3.4-mRNA-1	IPR028972	PF15402;PF15577;PF08317	NA	NA	NA	NA	NA	NA	PTHR28260	NA	mobidb-lite	NA	NA	Coil	NA	SM01315;SM00787	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_26_length_427138_cov_26.846437-processed-gene-0.4-mRNA-1	IPR036052	PF00291;PF00571	GO:0006535;GO:0004122;GO:0005737;GO:0019343	NA	NA	G3DSA:3.40.50.1100;G3DSA:3.10.580.10	cd01561	NA	PTHR10314;PTHR10314:SF132	SSF53686;SSF54631	NA	NA	PS00901	NA	PS51371	SM00116	KEGG: 00260+4.2.1.22|KEGG: 00270+4.2.1.22|MetaCyc: PWY-801	TIGR01137	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_26_length_427138_cov_26.846437-processed-gene-1.0-mRNA-1	IPR020801	PF16197;PF00109;PF00698;PF14765;PF08242;PF02801;PF08659;PF00550	GO:0003824;GO:0016740;GO:0031177	NA	NA	G3DSA:3.10.129.110;G3DSA:3.40.47.10;G3DSA:3.40.366.10;G3DSA:3.30.70.3290;G3DSA:1.10.1200.10;G3DSA:3.40.50.150;G3DSA:3.40.50.720	cd00833;cd02440	NA	PTHR43775;PTHR43775:SF10	SSF53335;SSF47336;SSF55048;SSF51735;SSF52151;SSF53901	mobidb-lite	NA	PS00606;PS00012	NA	NA	SM00827;SM00822;SM00825;SM00823;SM00826	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	NA	NA	NA	NA	NA	NA	NA
maker-NODE_12_length_714536_cov_25.462417-augustus-gene-4.12-mRNA-1	IPR013240	PF08208	GO:0006360	NA	NA	NA	NA	NA	PTHR28155	NA	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-427413|Reactome: R-HSA-5250924|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73777|Reactome: R-HSA-73863	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_1806559_cov_23.166471-augustus-gene-3.11-mRNA-1	IPR023299	PF16209;PF16212;PF13246	GO:0000166;GO:0004012;GO:0016021;GO:0000287;GO:0005524;GO:0015914	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	G3DSA:3.40.50.1000;G3DSA:3.40.1110.10;G3DSA:1.20.1110.10;G3DSA:2.70.150.10	cd02073	TMhelix	PTHR24092:SF34;PTHR24092	SSF81660;SSF56784;SSF81653;SSF81665	mobidb-lite	NA	PS00154	Coil	NA	NA	Reactome: R-HSA-936837	TIGR01494;TIGR01652	NA	PR00119	NA	NA	NA	SFLDF00027;SFLDS00003
augustus_masked-NODE_56_length_103439_cov_24.267597-processed-gene-0.29-mRNA-1	IPR003021	PF02144	GO:0000077;GO:0005634	NA	NA	G3DSA:3.70.10.10	cd00577	NA	PTHR10870	SSF55979	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-176187|Reactome: R-HSA-5685938|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-6804756|Reactome: R-HSA-69473	NA	NA	PR01245	NA	NA	NA	NA
augustus_masked-NODE_17_length_563110_cov_24.829048-processed-gene-4.20-mRNA-1	IPR013715	PF08508	GO:0035103;GO:0044695	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	PTHR39405	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_3_length_1133640_cov_24.555234-processed-gene-4.4-mRNA-1	IPR019368	PF10236		NA	NA	NA	NA	NA	PTHR12810	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA	NA	NA
maker-NODE_11_length_781200_cov_24.806976-augustus-gene-4.11-mRNA-1	IPR018450	PF10247	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	PTHR28525:SF1;PTHR28525	NA	NA	NA	NA	NA	NA	SM01378	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_28_length_392061_cov_26.495191-augustus-gene-2.77-mRNA-1	IPR004788	PF06026	GO:0004751;GO:0009052	NA	NA	G3DSA:3.40.50.1360;G3DSA:3.30.70.260	cd01398	NA	PTHR11934	SSF75445;SSF100950	NA	NA	NA	NA	NA	NA	KEGG: 00030+5.3.1.6|KEGG: 00051+5.3.1.6|KEGG: 00710+5.3.1.6|MetaCyc: PWY-1861|MetaCyc: PWY-5723|Reactome: R-HSA-5659996|Reactome: R-HSA-6791461|Reactome: R-HSA-71336	TIGR00021	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_12_length_714536_cov_25.462417-processed-gene-6.2-mRNA-1	IPR019402	PF10277	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	G3DSA:3.60.10.10	NA	TMhelix	PTHR14859;PTHR14859:SF1	SSF56219	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_21_length_530558_cov_24.609851-augustus-gene-4.15-mRNA-1	IPR001680	PF00400	GO:0005515	NA	NA	G3DSA:2.130.10.10	NA	NA	PTHR44215	SSF63825;SSF50978;SSF50998	mobidb-lite	NA	NA	NA	PS50294;PS50082	SM00320	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_22_length_501750_cov_22.809847-processed-gene-0.17-mRNA-1	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	SignalP-noTM	NA	NA
augustus_masked-NODE_17_length_563110_cov_24.829048-processed-gene-4.46-mRNA-1	IPR036396	PF00067	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	G3DSA:1.10.630.10	NA	NA	PTHR40641;PTHR40641:SF2	SSF48264	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	PR00463;PR00385	NA	NA	NA	NA
maker-NODE_3_length_1133640_cov_24.555234-augustus-gene-8.30-mRNA-1	IPR036322	NA	GO:0005515	NA	NA	G3DSA:2.130.10.10	NA	NA	PTHR12442:SF22;PTHR12442	SSF50978	mobidb-lite	NA	NA	Coil	PS50294;PS50082	SM00320	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_14_length_638213_cov_25.283819-processed-gene-3.19-mRNA-1	IPR017850	PF00884	GO:0003824;GO:0008484	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	G3DSA:3.40.720.10	NA	TMhelix	PTHR10342:SF247;PTHR10342	SSF53649	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_19_length_537329_cov_23.536180-augustus-gene-0.14-mRNA-1	IPR001487	PF00651;PF00439	GO:0005515	NA	NA	G3DSA:3.30.710.10;G3DSA:1.20.920.10	NA	NA	PTHR22880	SSF54695;SSF47370	mobidb-lite	NA	NA	NA	PS50014;PS50097	SM00297	NA	NA	NA	PR00503	NA	NA	NA	NA
augustus_masked-NODE_26_length_427138_cov_26.846437-processed-gene-2.26-mRNA-1	IPR001683	PF12230;PF00787;PF01805	GO:0035091;GO:0003723;GO:0006396	NA	NA	G3DSA:1.10.10.790;G3DSA:3.30.1520.10	cd07295	NA	PTHR15316;PTHR15316:SF1	SSF64268;SSF109905	mobidb-lite	NA	NA	Coil	PS50128;PS50195	SM00312;SM00648	Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_1806559_cov_23.166471-augustus-gene-5.1-mRNA-1	IPR023798	PF00177	GO:0006412	NA	NA	G3DSA:1.10.455.10	cd14868	NA	PTHR11205:SF19;PTHR11205	SSF47973	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_24_length_437981_cov_25.163338-augustus-gene-3.36-mRNA-1	IPR000795	PF00009;PF00679;PF03764;PF14492;PF03144;PF16004	GO:0003924;GO:0005525	NA	NA	G3DSA:3.40.50.300;G3DSA:3.30.70.240;G3DSA:3.90.1430.10;G3DSA:2.40.30.10;G3DSA:3.30.70.870;G3DSA:3.30.230.10	cd16264;cd01683;cd04090;cd04167;cd04098	NA	PTHR42908:SF6;PTHR42908	SSF54980;SSF52540;SSF54211;SSF50447	NA	NA	NA	NA	PS51722	SM00838;SM00889	Reactome: R-HSA-72163|Reactome: R-HSA-72165	TIGR00231	NA	PR00315	NA	NA	NA	NA
augustus_masked-NODE_45_length_159524_cov_23.948726-processed-gene-0.29-mRNA-1	IPR001752	PF00225	GO:0003777;GO:0005524;GO:0007018;GO:0008017	NA	NA	G3DSA:3.40.850.10	NA	NA	PTHR24115:SF592;PTHR24115	SSF52540	mobidb-lite	NA	PS00411	Coil	PS50067	SM00129	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	NA	SignalP-TM	PR00380	NA	NA	NA	NA
augustus_masked-NODE_9_length_812477_cov_21.218138-processed-gene-4.19-mRNA-1	IPR036390	PF17683;PF02270	GO:0006367;GO:0005674;GO:0006366	NA	NA	G3DSA:1.10.10.10	cd07980	NA	PTHR10445:SF0;PTHR10445	SSF46785;SSF50916	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167242|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-168325|Reactome: R-HSA-674695|Reactome: R-HSA-6796648|Reactome: R-HSA-6803529|Reactome: R-HSA-6807505|Reactome: R-HSA-72086|Reactome: R-HSA-72163|Reactome: R-HSA-72165|Reactome: R-HSA-72203|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-77075|Reactome: R-HSA-8851708|Reactome: R-HSA-9018519	NA	NA	NA	NA	NA	NA	NA
maker-NODE_60_length_79216_cov_25.596442-augustus-gene-0.47-mRNA-1	IPR018552	PF09415	GO:0006281;GO:0051382;GO:0046982	NA	NA	G3DSA:1.10.20.10	NA	NA	PTHR28680	NA	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-606279|Reactome: R-HSA-6783310	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_40_length_185010_cov_24.500170-processed-gene-0.29-mRNA-1	IPR018108	PF00153	GO:0022857;GO:0055085	NA	NA	G3DSA:1.50.40.10	NA	NA	PTHR24089:SF168;PTHR24089	SSF103506	NA	NA	NA	NA	PS50920	NA	NA	NA	NA	PR00926	NA	NA	NA	NA
maker-NODE_3_length_1133640_cov_24.555234-augustus-gene-0.24-mRNA-1	IPR015915	PF12768	GO:0005515	NA	SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	G3DSA:2.120.10.80	NA	TMhelix	PTHR31778	SSF50965	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	SignalP-noTM	NA	NA
augustus_masked-NODE_15_length_596300_cov_26.438574-processed-gene-4.49-mRNA-1	IPR001623	PF00226;PF00684;PF01556	GO:0005524;GO:0006457;GO:0009408;GO:0051082;GO:0031072	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	G3DSA:2.60.260.20;G3DSA:1.10.287.110;G3DSA:2.10.230.10	cd10719;cd10747;cd06257	NA	PTHR43096:SF10;PTHR43096	SSF46565;SSF49493;SSF57938	mobidb-lite	NA	NA	NA	PS51188;PS50076	SM00271	NA	NA	NA	PR00625	MF_01152	NA	NA	NA
augustus_masked-NODE_40_length_185010_cov_24.500170-processed-gene-0.38-mRNA-1	IPR005593	PF03894;PF09363;PF09364	GO:0005975;GO:0016832;GO:0003824	PIRSF017245	NA	G3DSA:3.40.50.970;G3DSA:3.40.50.920	cd02011	NA	PTHR31273;PTHR31273:SF0	SSF52518	NA	NA	PS60002;PS60003	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_6_length_1086122_cov_24.848966-processed-gene-9.34-mRNA-1	IPR002656	PF01757	GO:0016747	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	TMhelix	PTHR23028:SF53;PTHR23028	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_1806559_cov_23.166471-processed-gene-10.23-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_51_length_112717_cov_20.938209-augustus-gene-0.18-mRNA-1	IPR039731	PF02517	GO:0004222;GO:0030176;GO:0071586;GO:0016020	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	PTHR13046	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-5689880	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_6_length_1086122_cov_24.848966-processed-gene-9.27-mRNA-1	IPR032563	PF16282	GO:0006281;GO:0006338;GO:0035267;GO:0043967;GO:0043968	NA	NA	G3DSA:1.10.10.60	NA	NA	PTHR12855	SSF81995	mobidb-lite	NA	NA	Coil	NA	NA	Reactome: R-HSA-3214847	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_6_length_1086122_cov_24.848966-processed-gene-8.38-mRNA-1	IPR009327	PF06172	NA	NA	NA	G3DSA:2.60.120.10	NA	NA	PTHR33387:SF3;PTHR33387	SSF51182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_17_length_563110_cov_24.829048-processed-gene-0.11-mRNA-1	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_1742724_cov_22.765721-augustus-gene-8.3-mRNA-1	IPR028258	PF15277;PF09763	GO:0000145;GO:0006887	NA	NA	G3DSA:2.30.29.90	cd13315	NA	PTHR16092;PTHR16092:SF14	NA	mobidb-lite	NA	NA	NA	NA	SM01313	Reactome: R-HSA-1445148|Reactome: R-HSA-264876|Reactome: R-HSA-5620916	NA	NA	NA	NA	NA	NA	NA
maker-NODE_76_length_16126_cov_26.914682-augustus-gene-0.3-mRNA-1	IPR016024	PF00454;PF02259	GO:0000123;GO:0005634;GO:0016573;GO:0005515	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	cd05163	NA	PTHR11139;PTHR11139:SF1	SSF48371;SSF56112	mobidb-lite	NA	NA	NA	PS51189;PS51190;PS50290	SM00146	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_24_length_437981_cov_25.163338-processed-gene-1.44-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	PTHR38120	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
maker-NODE_15_length_596300_cov_26.438574-augustus-gene-0.6-mRNA-1	IPR029047	PF00012	GO:0005524;GO:0006457;GO:0051082	NA	NA	G3DSA:3.30.420.40;G3DSA:1.20.1270.10;G3DSA:3.90.640.10;G3DSA:3.30.30.30;G3DSA:2.60.34.10	cd11733	NA	PTHR19375:SF333;PTHR19375	SSF100920;SSF53067;SSF100934	mobidb-lite	NA	PS00297;PS00329;PS01036	Coil	NA	NA	Reactome: R-HSA-3371453	TIGR02350	SignalP-TM	PR00301	MF_00332	NA	NA	NA
augustus_masked-NODE_6_length_1086122_cov_24.848966-processed-gene-9.72-mRNA-1	IPR031331	PF17048;PF04734		NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	G3DSA:2.60.40.2300	NA	NA	PTHR12670:SF11;PTHR12670	NA	NA	NA	NA	NA	NA	NA	KEGG: 00600+3.5.1.23|MetaCyc: PWY-6483|MetaCyc: PWY-7119	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_16_length_580193_cov_25.066322-processed-gene-4.37-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
augustus_masked-NODE_4_length_1120656_cov_25.632235-processed-gene-1.33-mRNA-1	IPR009057	NA	GO:0003677	NA	NA	G3DSA:1.20.58.1880;G3DSA:1.10.10.60	cd00167	NA	PTHR13992;PTHR13992:SF7	SSF46689	mobidb-lite	NA	NA	Coil	PS51293	SM00717	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_53_length_110192_cov_27.060664-processed-gene-0.24-mRNA-1	IPR019446	PF10354	NA	NA	NA	NA	NA	NA	PTHR11538:SF26;PTHR11538	SSF53335	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_26_length_427138_cov_26.846437-processed-gene-0.12-mRNA-1	IPR027417	PF09439		NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:3.40.50.300	NA	TMhelix	PTHR11485:SF34;PTHR11485	SSF52540	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1799339|Reactome: R-HSA-381038	NA	NA	NA	NA	NA	NA	NA
maker-NODE_17_length_563110_cov_24.829048-augustus-gene-4.63-mRNA-1	IPR000961	NA	GO:0004674;GO:0005524;GO:0006468;GO:0004672	NA	NA	G3DSA:3.30.200.20;G3DSA:1.10.510.10	NA	NA	PTHR24356;PTHR24356:SF299	SSF56112	mobidb-lite	NA	NA	NA	PS51285	SM00133;SM00220	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_16_length_580193_cov_25.066322-processed-gene-2.28-mRNA-1	IPR000757	PF00722	GO:0004553;GO:0005975	NA	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:2.60.120.200	cd00413	NA	PTHR38121:SF4;PTHR38121	SSF49899	NA	SignalP-noTM	NA	NA	PS51762	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_35_length_261643_cov_23.839092-processed-gene-1.27-mRNA-1	IPR003961	PF00041	GO:0005515	NA	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	G3DSA:2.60.40.10	cd00063	NA	NA	SSF49265	mobidb-lite	SignalP-noTM	NA	Coil	PS50853	SM00060	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_31_length_340603_cov_23.599725-augustus-gene-0.11-mRNA-1	IPR006939	PF04855	GO:0000228;GO:0006338	NA	NA	NA	NA	NA	PTHR10019;PTHR10019:SF5	SSF101447	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	NA	SignalP-TM	NA	NA	NA	NA	NA
maker-NODE_20_length_530916_cov_24.776642-augustus-gene-0.9-mRNA-1	IPR002227	PF00264;PF18132	GO:0016491	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.10.1280.10	NA	NA	PTHR11474;PTHR11474:SF32	SSF48056	NA	SignalP-noTM	PS00498;PS00497	NA	NA	NA	Reactome: R-HSA-5662702	NA	NA	PR00092	NA	SignalP-noTM	NA	NA
augustus_masked-NODE_4_length_1120656_cov_25.632235-processed-gene-7.33-mRNA-1	IPR000182	PF00583	NA	NA	NA	G3DSA:3.40.630.30	cd04301	NA	PTHR23091;PTHR23091:SF280	SSF55729	mobidb-lite	NA	NA	NA	PS51186	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_2_length_1742724_cov_22.765721-processed-gene-5.34-mRNA-1	IPR000953	PF00385	NA	NA	NA	G3DSA:2.40.50.40	cd00024	NA	NA	SSF54160	mobidb-lite	NA	NA	NA	PS50013	SM00298	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_7_length_981326_cov_21.713968-processed-gene-6.16-mRNA-1	IPR036779	NA	GO:0005515	NA	NA	G3DSA:3.10.350.10	cd00118	NA	PTHR20932;PTHR20932:SF8	SSF54106	mobidb-lite	NA	NA	NA	PS50096	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
maker-NODE_34_length_270403_cov_23.853801-augustus-gene-0.18-mRNA-1	IPR038609	NA	NA	NA	NA	G3DSA:3.40.50.12360	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_36_length_260573_cov_26.882064-augustus-gene-1.56-mRNA-1	IPR004843	PF00149	GO:0016787	NA	NA	G3DSA:3.60.21.10	cd07415	NA	PTHR11668;PTHR11668:SF242	SSF56300	mobidb-lite	NA	PS00125	NA	NA	SM00156	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	NA	NA	PR00114	NA	NA	NA	NA
